#,Name,ClipType,Media In,Media Out,Media Offset,Game Date,At Bat Pitch Count,Away Team,Strike Type,Ball Type,Base,Batter,Batter Strength,Count,Hit Location X,Hit Location Y,Hit Result,Hit Type,Home Score,Home Team,Inning,Outs,Pitch Location X,Pitch Location Y,Pitch Count,Pitch Result,Pitch Type,Pitcher,Total Pitch Count,Visitor Score,Umpire
1,"Cavaliers vs Hokies 4/12/19, Pitch 001",Pitch,00:00:03.05,00:00:10.29,00:00:03.0860000,4/12/2019 4:13:00 PM,1,University of Virginia Cavaliers,Foul,,,17 Busby,Right,0-0,,,,,0,Virginia Tech Hokies,1,0,164,85,,Strike,,25 Carrie,1,0,
2,"Cavaliers vs Hokies 4/12/19, Pitch 002",Pitch,00:00:13.57,00:00:20.43,00:00:13.9470000,4/12/2019 4:13:00 PM,2,University of Virginia Cavaliers,,Ball,,17 Busby,Right,0-1,,,,,0,Virginia Tech Hokies,1,0,39,8,,Ball,,25 Carrie,2,0,
3,"Cavaliers vs Hokies 4/12/19, Pitch 003",Pitch,00:00:23.29,00:00:30.33,00:00:23.4900000,4/12/2019 4:13:00 PM,3,University of Virginia Cavaliers,Foul,,,17 Busby,Right,1-1,,,,,0,Virginia Tech Hokies,1,0,176,170,,Strike,Dropball,25 Carrie,3,0,
4,"Cavaliers vs Hokies 4/12/19, Pitch 004",Pitch,00:00:34.43,00:00:40.49,00:00:34.7180000,4/12/2019 4:13:00 PM,4,University of Virginia Cavaliers,Swing,,,17 Busby,Right,1-2,,,,,0,Virginia Tech Hokies,1,0,98,157,,Strike,,25 Carrie,4,0,
5,"Cavaliers vs Hokies 4/12/19, Pitch 005",Pitch,00:00:46.01,00:00:52.34,00:00:46.0130000,4/12/2019 4:13:00 PM,1,University of Virginia Cavaliers,,Ball,,24 Smith,Right,0-0,,,,,0,Virginia Tech Hokies,1,1,119,221,,Ball,Dropball,25 Carrie,5,0,
6,"Cavaliers vs Hokies 4/12/19, Pitch 006",Pitch,00:00:55.04,00:01:04.15,00:00:55.0720000,4/12/2019 4:13:00 PM,2,University of Virginia Cavaliers,Ball in Play,,,24 Smith,Right,1-0,110,166,,Line,0,Virginia Tech Hokies,1,1,149,146,,Strike,,25 Carrie,6,0,
7,"Cavaliers vs Hokies 4/12/19, Pitch 007",Pitch,00:01:10.10,00:01:17.14,00:01:10.1700000,4/12/2019 4:13:00 PM,1,University of Virginia Cavaliers,,Ball,,19 Osherow,Right,0-0,,,,,0,Virginia Tech Hokies,1,2,191,201,,Ball,Dropball,25 Carrie,7,0,
8,"Cavaliers vs Hokies 4/12/19, Pitch 008",Pitch,00:01:19.60,00:01:26.37,00:01:19.9970000,4/12/2019 4:13:00 PM,2,University of Virginia Cavaliers,Foul,,,19 Osherow,Right,1-0,,,,,0,Virginia Tech Hokies,1,2,101,26,,Strike,,25 Carrie,8,0,
9,"Cavaliers vs Hokies 4/12/19, Pitch 009",Pitch,00:01:31.19,00:01:38.46,00:01:31.3250000,4/12/2019 4:13:00 PM,3,University of Virginia Cavaliers,,Ball,,19 Osherow,Right,1-1,,,,,0,Virginia Tech Hokies,1,2,57,223,,Ball,Dropball,25 Carrie,9,0,
10,"Cavaliers vs Hokies 4/12/19, Pitch 010",Pitch,00:01:42.50,00:01:52.16,00:01:42.8360000,4/12/2019 4:13:00 PM,4,University of Virginia Cavaliers,Ball in Play,,,19 Osherow,Right,2-1,98,167,,Ground,0,Virginia Tech Hokies,1,2,145,98,,Strike,,25 Carrie,10,0,
11,"Cavaliers vs Hokies 4/12/19, Pitch 011",Pitch,00:01:56.48,00:02:04.18,00:01:56.8000000,4/12/2019 4:13:00 PM,1,University of Virginia Cavaliers,,Ball,,2 Bailey,Right,0-0,,,,,0,Virginia Tech Hokies,1,0,146,70,,Ball,Rise,12 Frei,1,0,
12,"Cavaliers vs Hokies 4/12/19, Pitch 012",Pitch,00:02:08.57,00:02:13.19,00:02:08.9460000,4/12/2019 4:13:00 PM,2,University of Virginia Cavaliers,,Ball,,2 Bailey,Right,1-0,,,,,0,Virginia Tech Hokies,1,0,22,79,,Ball,,12 Frei,2,0,
13,"Cavaliers vs Hokies 4/12/19, Pitch 013",Pitch,00:02:16.57,00:02:22.41,00:02:16.9540000,4/12/2019 4:13:00 PM,3,University of Virginia Cavaliers,Swing,,,2 Bailey,Right,2-0,,,,,0,Virginia Tech Hokies,1,0,138,78,,Strike,,12 Frei,3,0,
14,"Cavaliers vs Hokies 4/12/19, Pitch 014",Pitch,00:02:26.15,00:02:32.11,00:02:26.2460000,4/12/2019 4:13:00 PM,4,University of Virginia Cavaliers,Swing,,,2 Bailey,Right,2-1,,,,,0,Virginia Tech Hokies,1,0,55,201,,Strike,,12 Frei,4,0,
15,"Cavaliers vs Hokies 4/12/19, Pitch 015",Pitch,00:02:37.38,00:02:43.51,00:02:37.6410000,4/12/2019 4:13:00 PM,5,University of Virginia Cavaliers,,Ball,,2 Bailey,Right,2-2,,,,,0,Virginia Tech Hokies,1,0,130,18,,Ball,Rise,12 Frei,5,0,
16,"Cavaliers vs Hokies 4/12/19, Pitch 016",Pitch,00:02:47.18,00:02:52.54,00:02:47.3010000,4/12/2019 4:13:00 PM,6,University of Virginia Cavaliers,,Ball,,2 Bailey,Right,3-2,,,,,0,Virginia Tech Hokies,1,0,71,29,,Ball,Dropball,12 Frei,6,0,
17,"Cavaliers vs Hokies 4/12/19, Pitch 017",Pitch,00:02:57.45,00:03:04.32,00:02:57.7440000,4/12/2019 4:13:00 PM,1,University of Virginia Cavaliers,Take,,,4 Trull,Left,0-0,,,,,0,Virginia Tech Hokies,1,0,189,52,,Strike,,12 Frei,7,0,
18,"Cavaliers vs Hokies 4/12/19, Pitch 018",Pitch,00:03:05.14,00:03:13.56,00:03:05.2350000,4/12/2019 4:13:00 PM,2,University of Virginia Cavaliers,,Ball,,4 Trull,Left,0-1,,,,,0,Virginia Tech Hokies,1,0,171,31,,Ball,Rise,12 Frei,8,0,
19,"Cavaliers vs Hokies 4/12/19, Pitch 019",Pitch,00:03:15.10,00:03:23.39,00:03:15.1620000,4/12/2019 4:13:00 PM,3,University of Virginia Cavaliers,,Ball,,4 Trull,Left,1-1,,,,,0,Virginia Tech Hokies,1,0,16,78,,Ball,,12 Frei,9,0,
20,"Cavaliers vs Hokies 4/12/19, Pitch 020",Pitch,00:03:27.42,00:03:33.37,00:03:27.7080000,4/12/2019 4:13:00 PM,4,University of Virginia Cavaliers,Take,,,4 Trull,Left,2-1,,,,,0,Virginia Tech Hokies,1,0,191,145,,Strike,,12 Frei,10,0,
21,"Cavaliers vs Hokies 4/12/19, Pitch 021",Pitch,00:03:36.24,00:03:41.40,00:03:36.4000000,4/12/2019 4:13:00 PM,5,University of Virginia Cavaliers,,Ball,,4 Trull,Left,2-2,,,,,0,Virginia Tech Hokies,1,0,215,227,,Ball,Dropball,12 Frei,11,0,
22,"Cavaliers vs Hokies 4/12/19, Pitch 022",Pitch,00:03:45.23,00:03:51.56,00:03:45.3920000,4/12/2019 4:13:00 PM,6,University of Virginia Cavaliers,Take,,,4 Trull,Left,3-2,,,,,0,Virginia Tech Hokies,1,0,198,98,,Strike,,12 Frei,12,0,
23,"Cavaliers vs Hokies 4/12/19, Pitch 023",Pitch,00:03:59.54,00:04:03.54,00:03:59.9070000,4/12/2019 4:13:00 PM,1,University of Virginia Cavaliers,,Ball,,13 Caitlyn,Right,0-0,,,,,0,Virginia Tech Hokies,1,1,141,27,,Ball,Rise,12 Frei,13,0,
24,"Cavaliers vs Hokies 4/12/19, Pitch 024",Pitch,00:04:07.23,00:04:13.17,00:04:07.3810000,4/12/2019 4:13:00 PM,2,University of Virginia Cavaliers,,Ball,,13 Caitlyn,Right,1-0,,,,,0,Virginia Tech Hokies,1,1,147,231,,Ball,Dropball,12 Frei,14,0,
25,"Cavaliers vs Hokies 4/12/19, Pitch 025",Pitch,00:04:15.41,00:04:21.39,00:04:15.6890000,4/12/2019 4:13:00 PM,3,University of Virginia Cavaliers,,Ball,,13 Caitlyn,Right,2-0,,,,,0,Virginia Tech Hokies,1,1,22,89,,Ball,,12 Frei,15,0,
26,"Cavaliers vs Hokies 4/12/19, Pitch 026",Pitch,00:04:24.55,00:04:31.03,00:04:24.9150000,4/12/2019 4:13:00 PM,4,University of Virginia Cavaliers,Take,,,13 Caitlyn,Right,3-0,,,,,0,Virginia Tech Hokies,1,1,164,151,,Strike,Rise,12 Frei,16,0,
27,"Cavaliers vs Hokies 4/12/19, Pitch 027",Pitch,00:04:34.36,00:04:45.27,00:04:34.6080000,4/12/2019 4:13:00 PM,5,University of Virginia Cavaliers,Ball in Play,,,13 Caitlyn,,3-1,127,192,,Ground,0,Virginia Tech Hokies,1,1,,,,Strike,,12 Frei,17,0,
28,"Cavaliers vs Hokies 4/12/19, Pitch 028",Pitch,00:04:50.09,00:04:59.19,00:04:50.1570000,4/12/2019 4:13:00 PM,1,University of Virginia Cavaliers,Ball in Play,,,14 Emma,Right,0-0,28,57,Homerun,,0,Virginia Tech Hokies,1,2,142,98,,Strike,,12 Frei,18,0,
29,"Cavaliers vs Hokies 4/12/19, Pitch 029",Pitch,00:05:04.16,00:05:09.09,00:05:04.2710000,4/12/2019 4:13:00 PM,1,University of Virginia Cavaliers,,Ball,,8 Bennett,Right,0-0,,,,,2,Virginia Tech Hokies,1,2,14,96,,Ball,Dropball,12 Frei,19,0,
30,"Cavaliers vs Hokies 4/12/19, Pitch 030",Pitch,00:05:14.26,00:05:25.01,00:05:14.4310000,4/12/2019 4:13:00 PM,2,University of Virginia Cavaliers,Ball in Play,,,8 Bennett,Right,1-0,175,72,Double,,2,Virginia Tech Hokies,1,2,81,160,,Strike,,12 Frei,20,0,
31,"Cavaliers vs Hokies 4/12/19, Pitch 031",Pitch,00:05:30.13,00:05:34.10,00:05:30.2140000,4/12/2019 4:13:00 PM,1,University of Virginia Cavaliers,,Ball,,9 Velazquez,Left,0-0,,,,,2,Virginia Tech Hokies,1,2,197,31,,Ball,,12 Frei,21,0,
32,"Cavaliers vs Hokies 4/12/19, Pitch 032",Pitch,00:05:37.39,00:05:44.01,00:05:37.6540000,4/12/2019 4:13:00 PM,2,University of Virginia Cavaliers,,Ball,,9 Velazquez,Left,1-0,,,,,2,Virginia Tech Hokies,1,2,194,26,,Ball,Rise,12 Frei,22,0,
33,"Cavaliers vs Hokies 4/12/19, Pitch 033",Pitch,00:05:49.18,00:05:54.11,00:05:49.2990000,4/12/2019 4:13:00 PM,3,University of Virginia Cavaliers,,Ball,,9 Velazquez,Left,2-0,-1,-1,,,2,Virginia Tech Hokies,1,2,27,172,,Ball,,12 Frei,23,0,
34,"Cavaliers vs Hokies 4/12/19, Pitch 034",Pitch,00:05:54.32,00:06:03.28,00:05:54.5380000,4/12/2019 4:13:00 PM,4,University of Virginia Cavaliers,Take,,,9 Velazquez,Left,3-0,,,,,2,Virginia Tech Hokies,1,2,181,105,,Strike,,12 Frei,24,0,
35,"Cavaliers vs Hokies 4/12/19, Pitch 035",Pitch,00:06:07.04,00:06:14.57,00:06:07.0670000,4/12/2019 4:13:00 PM,5,University of Virginia Cavaliers,Ball in Play,,,9 Velazquez,Left,3-1,95,170,,Pop up infield,2,Virginia Tech Hokies,1,2,165,109,,Strike,,12 Frei,25,0,
