#,Name,ClipType,Media In,Media Out,Media Offset,Game Date,At Bat Pitch Count,Away Team,Strike Type,Ball Type,Base,Batter,Batter Strength,Count,Hit Location X,Hit Location Y,Hit Result,Hit Type,Home Score,Home Team,Inning,Outs,Pitch Location X,Pitch Location Y,Pitch Count,Pitch Result,Pitch Type,Pitcher,Total Pitch Count,Visitor Score,Umpire
1,"UVA4-13-19Game2, Pitch 001",Pitch,00:00:00.00,00:00:06.09,00:00:00,4/13/2019 4:21:00 PM,1,University of Virginia Cavaliers,Take,,,17 Busby,Right,0-0,,,,,0,Virginia Tech Hokies,1,0,51,97,,Strike,,25 Carrie,1,0,
2,"UVA4-13-19Game2, Pitch 002",Pitch,00:00:08.29,00:00:15.26,00:00:08.4920000,4/13/2019 4:21:00 PM,2,University of Virginia Cavaliers,Take,,,17 Busby,Right,0-1,,,,,0,Virginia Tech Hokies,1,0,46,76,,Strike,,25 Carrie,2,0,
3,"UVA4-13-19Game2, Pitch 003",Pitch,00:00:18.04,00:00:23.54,00:00:18.0680000,4/13/2019 4:21:00 PM,3,University of Virginia Cavaliers,,Ball,,17 Busby,Right,0-2,,,,,0,Virginia Tech Hokies,1,0,35,127,,Ball,,25 Carrie,3,0,
4,"UVA4-13-19Game2, Pitch 004",Pitch,00:00:27.59,00:00:39.32,00:00:27.9780000,4/13/2019 4:21:00 PM,4,University of Virginia Cavaliers,Foul,,,17 Busby,Right,1-2,179,205,,,0,Virginia Tech Hokies,1,0,102,75,,Strike,,25 Carrie,4,0,
5,"UVA4-13-19Game2, Pitch 005",Pitch,00:00:40.26,00:00:48.09,00:00:40.4400000,4/13/2019 4:21:00 PM,5,University of Virginia Cavaliers,Foul,,,17 Busby,Right,1-2,145,237,,,0,Virginia Tech Hokies,1,0,65,200,,Strike,Dropball,25 Carrie,5,0,
6,"UVA4-13-19Game2, Pitch 006",Pitch,00:00:50.40,00:01:01.47,00:00:50.6670000,4/13/2019 4:21:00 PM,6,University of Virginia Cavaliers,Ball in Play,,,17 Busby,Right,1-2,149,175,,Pop up infield,0,Virginia Tech Hokies,1,0,87,53,,Strike,Dropball,25 Carrie,6,0,
7,"UVA4-13-19Game2, Pitch 007",Pitch,00:01:07.18,00:01:13.58,00:01:07.3010000,4/13/2019 4:21:00 PM,1,University of Virginia Cavaliers,Take,,,24 Smith,Right,0-0,,,,,0,Virginia Tech Hokies,1,1,67,96,,Strike,,25 Carrie,7,0,
8,"UVA4-13-19Game2, Pitch 008",Pitch,00:01:17.36,00:01:25.51,00:01:17.5940000,4/13/2019 4:21:00 PM,2,University of Virginia Cavaliers,,Ball,,24 Smith,Right,0-1,,,,,0,Virginia Tech Hokies,1,1,41,1,,Ball,,25 Carrie,8,0,
9,"UVA4-13-19Game2, Pitch 009",Pitch,00:01:26.37,00:01:36.03,00:01:26.6200000,4/13/2019 4:21:00 PM,3,University of Virginia Cavaliers,Take,,,24 Smith,Right,1-1,,,,,0,Virginia Tech Hokies,1,1,52,86,,Strike,,25 Carrie,9,0,
10,"UVA4-13-19Game2, Pitch 010",Pitch,00:01:37.41,00:01:45.56,00:01:37.6810000,4/13/2019 4:21:00 PM,4,University of Virginia Cavaliers,,Ball,,24 Smith,Right,1-2,,,,,0,Virginia Tech Hokies,1,1,132,204,,Ball,,25 Carrie,10,0,
