#,Name,ClipType,Media In,Media Out,Media Offset,Game Date,At Bat Pitch Count,Away Team,Strike Type,Ball Type,Base,Batter,Batter Strength,Count,Hit Location X,Hit Location Y,Hit Result,Hit Type,Home Score,Home Team,Inning,Outs,Pitch Location X,Pitch Location Y,Pitch Count,Pitch Result,Pitch Type,Pitcher,Total Pitch Count,Visitor Score,Umpire
1,"Tar Heels vs Hokies 4/21/19, Pitch 001",Pitch,00:00:00.11,00:00:07.14,00:00:00.1840000,4/21/2019 12:57:00 PM,1,University of North Carolina Tar Heels,Take,,,4 Murray,Left,0-0,,,,,0,Virginia Tech Hokies,1,0,144,67,,Strike,Rise,3 Rochard,1,0,
2,"Tar Heels vs Hokies 4/21/19, Pitch 002",Pitch,00:00:12.30,00:00:21.28,00:00:12.4960000,4/21/2019 12:57:00 PM,2,University of North Carolina Tar Heels,,Ball,,4 Murray,Left,0-1,,,,,0,Virginia Tech Hokies,1,0,139,6,,Ball,Rise,3 Rochard,2,0,
3,"Tar Heels vs Hokies 4/21/19, Pitch 003",Pitch,00:00:24.44,00:00:35.02,00:00:24.7410000,4/21/2019 12:57:00 PM,3,University of North Carolina Tar Heels,Ball in Play,,,4 Murray,Left,1-1,125,187,,Ground,0,Virginia Tech Hokies,1,0,165,86,,Strike,,3 Rochard,3,0,
4,"Tar Heels vs Hokies 4/21/19, Pitch 004",Pitch,00:00:39.54,00:00:47.40,00:00:39.9070000,4/21/2019 12:57:00 PM,1,University of North Carolina Tar Heels,Take,,,10 Burkhardt,Left,0-0,,,,,0,Virginia Tech Hokies,1,1,151,66,,Strike,Rise,3 Rochard,4,0,
5,"Tar Heels vs Hokies 4/21/19, Pitch 005",Pitch,00:00:51.32,00:00:57.57,00:00:51.5350000,4/21/2019 12:57:00 PM,2,University of North Carolina Tar Heels,,Ball,,10 Burkhardt,Left,0-1,,,,,0,Virginia Tech Hokies,1,1,121,229,,Ball,Offspeed,3 Rochard,5,0,
6,"Tar Heels vs Hokies 4/21/19, Pitch 006",Pitch,00:01:04.55,00:01:13.05,00:01:04.9150000,4/21/2019 12:57:00 PM,3,University of North Carolina Tar Heels,,Ball,,10 Burkhardt,Left,1-1,,,,,0,Virginia Tech Hokies,1,1,210,77,,Ball,Rise,3 Rochard,6,0,
7,"Tar Heels vs Hokies 4/21/19, Pitch 007",Pitch,00:01:15.46,00:01:21.31,00:01:15.7760000,4/21/2019 12:57:00 PM,4,University of North Carolina Tar Heels,Foul,,,10 Burkhardt,Left,2-1,,,,,0,Virginia Tech Hokies,1,1,109,44,,Strike,,3 Rochard,7,0,
8,"Tar Heels vs Hokies 4/21/19, Pitch 008",Pitch,00:01:26.03,00:01:33.31,00:01:26.0530000,4/21/2019 12:57:00 PM,5,University of North Carolina Tar Heels,Swing,,,10 Burkhardt,Left,2-2,,,,,0,Virginia Tech Hokies,1,1,124,58,,Strike,Rise,3 Rochard,8,0,
9,"Tar Heels vs Hokies 4/21/19, Pitch 009",Pitch,00:01:37.07,00:01:44.17,00:01:37.1140000,4/21/2019 12:57:00 PM,1,University of North Carolina Tar Heels,,Ball,,8 Ramsey,Left,0-0,,,,,0,Virginia Tech Hokies,1,2,197,67,,Ball,Rise,3 Rochard,9,0,
10,"Tar Heels vs Hokies 4/21/19, Pitch 010",Pitch,00:01:47.35,00:01:55.34,00:01:47.5910000,4/21/2019 12:57:00 PM,2,University of North Carolina Tar Heels,,Ball,,8 Ramsey,Left,1-0,,,,,0,Virginia Tech Hokies,1,2,212,164,,Ball,,3 Rochard,10,0,
