Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,4. Pitch Location,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,9. Outs,Hitting Position,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location,Z-Game Details
PITCH (1),0,9167,Bases Empty,02-16-2019,24 Arizona Pilgrim,R-Hand,9 Al Velazquez,L-Hand,MM,Ball,1--0,0--0,,,,0 Out,,1. Inning,Charleston Southern,Virginia Tech,,248;257,PITCH
PITCH (3),9200,12990,Bases Empty,02-16-2019,24 Arizona Pilgrim,R-Hand,9 Al Velazquez,L-Hand,MR,Ball,3--0,2--0,,,,0 Out,,1. Inning,Charleston Southern,Virginia Tech,,356;292,PITCH
PITCH (4),22223,21672,NO CHANGE,02-16-2019,24 Arizona Pilgrim,R-Hand,9 Al Velazquez,L-Hand,ML,Ball,Walk,3--0,,,,0 Out,,1. Inning,Charleston Southern,Virginia Tech,,157;248,PITCH
PITCH (5),43929,17117,R1,02-16-2019,4 Holly Clark,R-Hand,4 Darby Trull,L-Hand,MM,Strike Called,0--1,0--0,,,,0 Out,,1. Inning,Charleston Southern,Virginia Tech,,233;254,PITCH
PITCH (6),61079,20551,R1,02-16-2019,4 Holly Clark,R-Hand,4 Darby Trull,L-Hand,MR,Foul,0--2,0--1,,,,0 Out,,1. Inning,Charleston Southern,Virginia Tech,,353;246,PITCH
PITCH (7),81663,16584,R1,02-16-2019,4 Holly Clark,R-Hand,4 Darby Trull,L-Hand,MR,Ball,1--2,0--2,,,,0 Out,,1. Inning,Charleston Southern,Virginia Tech,,332;233,PITCH
PITCH (8),98281,17633,R1,02-16-2019,4 Holly Clark,R-Hand,4 Darby Trull,L-Hand,LM,Ball,2--2,1--2,,,,0 Out,,1. Inning,Charleston Southern,Virginia Tech,,252;339,PITCH
PITCH (9),115947,23146,R1,02-16-2019,4 Holly Clark,R-Hand,4 Darby Trull,L-Hand,,Ball in Play,,2--2,2B3,,,0 Out,,1. Inning,Charleston Southern,Virginia Tech,279;227,,PITCH
PITCH (10),139126,19877,R1,02-16-2019,4 Holly Clark,R-Hand,6 Lauren Duff,R-Hand,LL,Strike Called,0--1,0--0,,,,1 Out,,1. Inning,Charleston Southern,Virginia Tech,,160;360,PITCH
PITCH (11),159036,17182,R1,02-16-2019,4 Holly Clark,R-Hand,6 Lauren Duff,R-Hand,LM,Strike Swinging,0--2,0--1,,,,1 Out,,1. Inning,Charleston Southern,Virginia Tech,,243;369,PITCH
PITCH (12),176251,29690,R1,02-16-2019,4 Holly Clark,R-Hand,6 Lauren Duff,R-Hand,,Ball in Play,,0--2,3B3,Fielders Choice,,1 Out,,1. Inning,Charleston Southern,Virginia Tech,212;267,,PITCH
PITCH (13),205974,14351,R2,02-16-2019,4 Holly Clark,R-Hand,13 Caitlyn Nolan,R-Hand,,Strike Called,0--1,0--0,,,,2 Out,,1. Inning,Charleston Southern,Virginia Tech,,,PITCH
PITCH (14),220359,22831,R2,02-16-2019,4 Holly Clark,R-Hand,13 Caitlyn Nolan,R-Hand,UPM,Strike Called,0--2,0--1,,,,2 Out,,1. Inning,Charleston Southern,Virginia Tech,,182;1,PITCH
