Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,3. Pitch Type,4. Pitch Location,5. Catcher Throw Down,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,8. Well Hit,9. Outs,Hitting Position,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location,Z-Game Details
PITCH (1),0,8609,Bases Empty,02-17-2019,12 Kelly Schmidt,R-Hand,9 Al Velazquez,L-Hand,,RIGHTM,,Ball,1--0,0--0,,,,,0 Out,,1. Inning,East Tennesse State,Virginia Tech,,443;170,PITCH
PITCH (2),8625,17996,Bases Empty,02-17-2019,12 Kelly Schmidt,R-Hand,9 Al Velazquez,L-Hand,,MR,,Ball in Play,,1--0,DLF,Double,,,0 Out,,1. Inning,East Tennesse State,Virginia Tech,91;96,306;209,PITCH
PITCH (4),26638,13490,R2,02-17-2019,12 Kelly Schmidt,R-Hand,4 Darby Trull,L-Hand,,MR,,Strike Called,0--1,0--0,,,,,0 Out,,1. Inning,East Tennesse State,Virginia Tech,,388;210,PITCH
PITCH (5),40144,6986,R2,02-17-2019,12 Kelly Schmidt,R-Hand,4 Darby Trull,L-Hand,,RIGHTM,,Ball,1--1,0--1,,,,,0 Out,,1. Inning,East Tennesse State,Virginia Tech,,440;107,PITCH
PITCH (6),47147,10988,R2,02-17-2019,12 Kelly Schmidt,R-Hand,4 Darby Trull,L-Hand,,RIGHTM,,Ball,2--1,1--1,,,,,0 Out,,1. Inning,East Tennesse State,Virginia Tech,,427;141,PITCH
PITCH (7),58152,6987,R2,02-17-2019,12 Kelly Schmidt,R-Hand,4 Darby Trull,L-Hand,,MR,,Foul,2--2,2--1,,,,,0 Out,,1. Inning,East Tennesse State,Virginia Tech,,336;274,PITCH
PITCH (8),65156,14379,R2,02-17-2019,12 Kelly Schmidt,R-Hand,4 Darby Trull,L-Hand,,UPL,,Foul,2--2,2--2,,,,,0 Out,,1. Inning,East Tennesse State,Virginia Tech,,121;152,PITCH
PITCH (9),79551,14182,R2,02-17-2019,12 Kelly Schmidt,R-Hand,4 Darby Trull,L-Hand,,UPL,,Foul,2--2,2--2,,,,,0 Out,,1. Inning,East Tennesse State,Virginia Tech,,117;188,PITCH
PITCH (3),93750,9988,R2,02-17-2019,,,4 Darby Trull,L-Hand,,RIGHTM,,Strike Called,Strikeout,2-2,,,,,0 Out,,1. Inning,,Virginia Tech,,406;184,PITCH
PITCH (10),103755,16251,R2,02-17-2019,12 Kelly Schmidt,R-Hand,6 Lauren Duff,R-Hand,,UPM,,WP-PB,1--0,0--0,,,,,1 Out,,1. Inning,East Tennesse State,Virginia Tech,,78;63,PITCH
PITCH (11),120022,12188,R3,02-17-2019,12 Kelly Schmidt,R-Hand,6 Lauren Duff,R-Hand,,LL,,Foul,1--1,1--0,,,,,1 Out,,1. Inning,East Tennesse State,Virginia Tech,,184;309,PITCH
PITCH (12),132227,12022,R3,02-17-2019,12 Kelly Schmidt,R-Hand,6 Lauren Duff,R-Hand,,UPR,,Foul,1--2,1--1,,,,,1 Out,,1. Inning,East Tennesse State,Virginia Tech,,306;156,PITCH
PITCH (13),144266,7999,R3,02-17-2019,12 Kelly Schmidt,R-Hand,6 Lauren Duff,R-Hand,,DOWNM,,Ball,2--2,1--2,,,,,1 Out,,1. Inning,East Tennesse State,Virginia Tech,,141;442,PITCH
PITCH (14),152282,19572,R3,02-17-2019,12 Kelly Schmidt,R-Hand,6 Lauren Duff,R-Hand,,LL,,Ball in Play,,2--2,SS3,Single,1 RBI,,1 Out,,1. Inning,East Tennesse State,Virginia Tech,241;232,136;337,PITCH
PITCH (15),171871,7994,R1,02-17-2019,12 Kelly Schmidt,R-Hand,13 Caitlyn Nolan,R-Hand,,LL,,Strike Called,0--1,0--0,,,,,1 Out,,1. Inning,East Tennesse State,Virginia Tech,,124;390,PITCH
PITCH (16),179881,20589,R1,02-17-2019,12 Kelly Schmidt,R-Hand,13 Caitlyn Nolan,R-Hand,,LL,,Ball in Play,,0--1,DCF2,Fly Out,,,1 Out,,1. Inning,East Tennesse State,Virginia Tech,301;35,165;326,PITCH
