Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,3. Pitch Type,4. Pitch Location,5. Catcher Throw Down,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,8. Well Hit,9. Outs,Hitting Position,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location,Z-Game Details
PITCH (1),0,12400,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,4 Leah Murray,L-Hand,,MR,,Strike Called,0--1,0--0,,,,,0 Out,Bunt Attempt,1. Inning,Virginia Tech,UNC,,345;271,PITCH
PITCH (2),12433,12095,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,4 Leah Murray,L-Hand,,UPM,,Ball,1--1,0--1,,,,,0 Out,Bunt Attempt,1. Inning,Virginia Tech,UNC,,359;55,PITCH
PITCH (3),24561,14989,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,4 Leah Murray,L-Hand,,LR,,Ball in Play,,1--1,PF,Ground Out,,,0 Out,Slap Attempt,1. Inning,Virginia Tech,UNC,244;274,314;335,PITCH
PITCH (4),39584,11548,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,10 Kristina Burkhardt,L-Hand,,MR,,Strike Called,0--1,0--0,,,,,1 Out,,1. Inning,Virginia Tech,UNC,,366;213,PITCH
PITCH (5),51165,13458,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,10 Kristina Burkhardt,L-Hand,Change Up,DOWNM,,Ball,1--1,0--1,,,,,1 Out,,1. Inning,Virginia Tech,UNC,,271;430,PITCH
PITCH (6),64656,10640,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,10 Kristina Burkhardt,L-Hand,,RIGHTM,,Ball,2--1,1--1,,,,,1 Out,,1. Inning,Virginia Tech,UNC,,429;171,PITCH
PITCH (7),75329,10389,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,10 Kristina Burkhardt,L-Hand,,UPR,,Foul,2--2,2--1,,,,,1 Out,,1. Inning,Virginia Tech,UNC,,309;164,PITCH
PITCH (8),85751,10921,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,10 Kristina Burkhardt,L-Hand,,UPR,,Strike Swinging,Strikeout,2--2,,,,,1 Out,,1. Inning,Virginia Tech,UNC,,323;106,PITCH
PITCH (9),96705,10388,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,8 Kiani Ramsey,L-Hand,,RIGHTM,,Ball,1--0,0--0,,,,,2 Out,,1. Inning,Virginia Tech,UNC,,433;173,PITCH
PITCH (10),107126,8908,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,8 Kiani Ramsey,L-Hand,,RIGHTM,,Ball,2--0,1--0,,,,,2 Out,,1. Inning,Virginia Tech,UNC,,473;288,PITCH
PITCH (11),116067,13170,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,8 Kiani Ramsey,L-Hand,,UPM,,Ball,3--0,2--0,,,,,2 Out,Slap Attempt,1. Inning,Virginia Tech,UNC,,176;70,PITCH
PITCH (12),129271,10423,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,8 Kiani Ramsey,L-Hand,,UPR,,Strike Called,3--1,3--0,,,,,2 Out,,1. Inning,Virginia Tech,UNC,,323;170,PITCH
PITCH (13),139727,12125,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,8 Kiani Ramsey,L-Hand,,MR,,Foul,3--2,3--1,,,,,2 Out,Slap Attempt,1. Inning,Virginia Tech,UNC,,382;293,PITCH
PITCH (14),151885,15122,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,8 Kiani Ramsey,L-Hand,,MR,,Ball in Play,,3--2,DCF1,Fly Out,,,2 Out,Slap Attempt,1. Inning,Virginia Tech,UNC,213;98,307;235,PITCH
PITCH (15),167041,7775,Bases Empty,04-21-2019,28 Brittany Pickett,L-Hand,2 Jayme Bailey,R-Hand,,RIGHTM,,Ball,1--0,0--0,,,,,0 Out,,1. Inning,UNC,Virginia Tech,,424;179,PITCH
PITCH (16),174850,11804,Bases Empty,04-21-2019,28 Brittany Pickett,L-Hand,2 Jayme Bailey,R-Hand,,LM,,Ball in Play,,1--0,SRF,Single,,,0 Out,,1. Inning,UNC,Virginia Tech,354;228,227;319,PITCH
PITCH (17),186687,7200,R1,04-21-2019,28 Brittany Pickett,L-Hand,4 Darby Trull,L-Hand,,UPR,,Strike Swinging,0--1,0--0,,,,,0 Out,,1. Inning,UNC,Virginia Tech,,354;181,PITCH
PITCH (18),193921,10389,R1,04-21-2019,28 Brittany Pickett,L-Hand,4 Darby Trull,L-Hand,,MR,,Foul,0--2,0--1,,,,,0 Out,,1. Inning,UNC,Virginia Tech,,309;297,PITCH
PITCH (19),204343,12669,R1,04-21-2019,28 Brittany Pickett,L-Hand,4 Darby Trull,L-Hand,,LR,,Ball in Play,,0--2,PF,Fielders Choice,,,0 Out,,1. Inning,UNC,Virginia Tech,242;264,340;391,PITCH
PITCH (20),217046,7328,R1,04-21-2019,28 Brittany Pickett,L-Hand,13 Caitlyn Nolan,R-Hand,,UPR,,Foul,0--1,0--0,,,,,1 Out,,1. Inning,UNC,Virginia Tech,,386;191,PITCH
PITCH (21),224407,8386,R1,04-21-2019,28 Brittany Pickett,L-Hand,13 Caitlyn Nolan,R-Hand,,LR,,Foul,0--2,0--1,,,,,1 Out,,1. Inning,UNC,Virginia Tech,,335;333,PITCH
PITCH (22),232827,9851,R1,04-21-2019,28 Brittany Pickett,L-Hand,13 Caitlyn Nolan,R-Hand,,DOWNM,,Ball,1--2,0--2,,,,,1 Out,,1. Inning,UNC,Virginia Tech,,115;410,PITCH
PITCH (23),242711,8748,R1,04-21-2019,28 Brittany Pickett,L-Hand,13 Caitlyn Nolan,R-Hand,,UPM,,Foul,1--2,1--2,,,,,1 Out,,1. Inning,UNC,Virginia Tech,,250;148,PITCH
PITCH (24),251492,6929,R1,04-21-2019,28 Brittany Pickett,L-Hand,13 Caitlyn Nolan,R-Hand,,UPM,,Strike Swinging,Strikeout,1--2,,,,,1 Out,,1. Inning,UNC,Virginia Tech,,272;130,PITCH
PITCH (25),258455,9428,R1,04-21-2019,28 Brittany Pickett,L-Hand,14 Emma Strouth,R-Hand,Change Up,DOWNM,,Strike Swinging,0--1,0--0,,,,,2 Out,,1. Inning,UNC,Virginia Tech,,311;433,PITCH
PITCH (26),267917,9280,R1,04-21-2019,28 Brittany Pickett,L-Hand,14 Emma Strouth,R-Hand,,MR,,Foul,0--2,0--1,,,,,2 Out,,1. Inning,UNC,Virginia Tech,,373;271,PITCH
PITCH (27),277230,9038,R1,04-21-2019,28 Brittany Pickett,L-Hand,14 Emma Strouth,R-Hand,,LEFTM,,Ball,1--2,0--2,,,,,2 Out,,1. Inning,UNC,Virginia Tech,,93;290,PITCH
PITCH (28),286301,7906,R1,04-21-2019,28 Brittany Pickett,L-Hand,14 Emma Strouth,R-Hand,,DOWNM,,Ball,2--2,1--2,,,,,2 Out,,1. Inning,UNC,Virginia Tech,,110;459,PITCH
PITCH (29),294240,13916,R1,04-21-2019,28 Brittany Pickett,L-Hand,14 Emma Strouth,R-Hand,Change Up,MM,,Ball in Play,,2--2,Home Run LCF,Home Run,,Well Hit Ball,2 Out,,1. Inning,UNC,Virginia Tech,,264;288,PITCH
PITCH (30),308190,7644,Bases Empty,04-21-2019,28 Brittany Pickett,L-Hand,8 Kelsey Bennett,R-Hand,,MR,,Foul,0--1,0--0,,,,,2 Out,,1. Inning,UNC,Virginia Tech,,365;210,PITCH
PITCH (31),315868,13276,Bases Empty,04-21-2019,28 Brittany Pickett,L-Hand,8 Kelsey Bennett,R-Hand,,MR,,Ball in Play,,0--1,2B3,Ground Out,,,2 Out,,1. Inning,UNC,Virginia Tech,280;222,358;246,PITCH
PITCH (32),329177,11001,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,28 Brittany Pickett,L-Hand,,RIGHTM,,Ball,1--0,0--0,,,,,0 Out,,2. Inning,Virginia Tech,UNC,,450;328,PITCH
PITCH (33),340211,11323,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,28 Brittany Pickett,L-Hand,Change Up,DOWNM,,Ball,2--0,1--0,,,,,0 Out,,2. Inning,Virginia Tech,UNC,,290;406,PITCH
PITCH (34),351567,10364,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,28 Brittany Pickett,L-Hand,,MR,,Foul,2--1,2--0,,,,,0 Out,,2. Inning,Virginia Tech,UNC,,358;293,PITCH
PITCH (35),361965,10829,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,28 Brittany Pickett,L-Hand,,UPM,,Ball,3--1,2--1,,,,,0 Out,,2. Inning,Virginia Tech,UNC,,325;90,PITCH
PITCH (36),372827,17604,NO CHANGE,04-21-2019,3 Keely Rochard,R-Hand,28 Brittany Pickett,L-Hand,,MR,,Ball in Play,,3--1,2B3,ROE,,,0 Out,,2. Inning,Virginia Tech,UNC,281;236,347;302,PITCH
PITCH (37),390465,8881,R1,04-21-2019,3 Keely Rochard,R-Hand,55 Megan Dray,R-Hand,,RIGHTM,,Ball,1--0,0--0,,,,,0 Out,,2. Inning,Virginia Tech,UNC,,452;359,PITCH
