Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,3. Pitch Type,4. Pitch Location,5. Catcher Throw Down,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,8. Well Hit,9. Outs,Hitting Position,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location,Z-Game Details
PITCH (1),0,15066,Bases Empty,04-21-2019,25 Carrie Eberle,R-Hand,4 Leah Murray,L-Hand,,UPM,,Ball in Play,,0--0,PF,Ground Out,,,0 Out,Bunt Attempt,1. Inning,Virginia Tech,UNC,245;279,244;184,PITCH
PITCH (2),15100,9190,Bases Empty,04-21-2019,25 Carrie Eberle,R-Hand,10 Kristina Burkhardt,L-Hand,,UPM,,Ball,1--0,0--0,,,,,1 Out,,1. Inning,Virginia Tech,UNC,,218;42,PITCH
PITCH (3),24323,9804,Bases Empty,04-21-2019,25 Carrie Eberle,R-Hand,10 Kristina Burkhardt,L-Hand,,LR,,Strike Swinging,1--1,1--0,,,,,1 Out,,1. Inning,Virginia Tech,UNC,,354;308,PITCH
PITCH (4),34160,14588,Bases Empty,04-21-2019,25 Carrie Eberle,R-Hand,10 Kristina Burkhardt,L-Hand,,MR,,Foul,1--2,1--1,,,,,1 Out,,1. Inning,Virginia Tech,UNC,,354;226,PITCH
PITCH (5),48781,11882,Bases Empty,04-21-2019,25 Carrie Eberle,R-Hand,10 Kristina Burkhardt,L-Hand,,UPM,,Ball,2--2,1--2,,,,,1 Out,,1. Inning,Virginia Tech,UNC,,396;15,PITCH
PITCH (6),60696,13846,Bases Empty,04-21-2019,25 Carrie Eberle,R-Hand,10 Kristina Burkhardt,L-Hand,,LL,,Strike Called,Strikeout,2--2,,,,,1 Out,,1. Inning,Virginia Tech,UNC,,190;390,PITCH
PITCH (7),74575,11427,Bases Empty,04-21-2019,25 Carrie Eberle,R-Hand,8 Kiani Ramsey,L-Hand,,LM,,Strike Called,0--1,0--0,,,,,2 Out,Bunt Attempt,1. Inning,Virginia Tech,UNC,,251;348,PITCH
PITCH (8),86035,10289,Bases Empty,04-21-2019,25 Carrie Eberle,R-Hand,8 Kiani Ramsey,L-Hand,,UPM,,Ball,1--1,0--1,,,,,2 Out,,1. Inning,Virginia Tech,UNC,,178;46,PITCH
PITCH (9),96358,10439,Bases Empty,04-21-2019,25 Carrie Eberle,R-Hand,8 Kiani Ramsey,L-Hand,,UPM,,Ball,2--1,1--1,,,,,2 Out,,1. Inning,Virginia Tech,UNC,,229;31,PITCH
PITCH (10),106831,11874,Bases Empty,04-21-2019,25 Carrie Eberle,R-Hand,8 Kiani Ramsey,L-Hand,,UPM,,Ball in Play,,2--1,2B3,Ground Out,,,2 Out,,1. Inning,Virginia Tech,UNC,299;226,203;204,PITCH
PITCH (11),118738,9291,Bases Empty,04-21-2019,42 Hannah George,R-Hand,2 Jayme Bailey,R-Hand,,UPM,,Ball,1--0,0--0,,,,,0 Out,,1. Inning,UNC,Virginia Tech,,255;90,PITCH
PITCH (12),128062,10878,Bases Empty,04-21-2019,42 Hannah George,R-Hand,2 Jayme Bailey,R-Hand,,LR,,Foul,1--1,1--0,,,,,0 Out,,1. Inning,UNC,Virginia Tech,,358;342,PITCH
PITCH (13),138973,10540,Bases Empty,04-21-2019,42 Hannah George,R-Hand,2 Jayme Bailey,R-Hand,,LM,,Foul,1--2,1--1,,,,,0 Out,,1. Inning,UNC,Virginia Tech,,217;310,PITCH
PITCH (14),149546,8810,Bases Empty,04-21-2019,42 Hannah George,R-Hand,2 Jayme Bailey,R-Hand,,RIGHTM,,Ball,2--2,1--2,,,,,0 Out,,1. Inning,UNC,Virginia Tech,,426;270,PITCH
PITCH (15),158390,11614,Bases Empty,04-21-2019,42 Hannah George,R-Hand,2 Jayme Bailey,R-Hand,,LEFTM,,Ball,3--2,2--2,,,,,0 Out,,1. Inning,UNC,Virginia Tech,,79;302,PITCH
PITCH (16),170037,9492,Bases Empty,04-21-2019,42 Hannah George,R-Hand,2 Jayme Bailey,R-Hand,,DOWNM,,Ball,Walk,3--2,,,,,0 Out,,1. Inning,UNC,Virginia Tech,,438;439,PITCH
PITCH (17),179562,9499,R1,04-21-2019,42 Hannah George,R-Hand,4 Darby Trull,L-Hand,,UPM,,Ball,1--0,0--0,,,,,0 Out,Bunt Attempt,1. Inning,UNC,Virginia Tech,,318;64,PITCH
PITCH (18),189094,10179,R1,04-21-2019,42 Hannah George,R-Hand,4 Darby Trull,L-Hand,,LR,,Strike Called,1--1,1--0,,,,,0 Out,,1. Inning,UNC,Virginia Tech,,396;342,PITCH
PITCH (19),199307,10530,R1,04-21-2019,42 Hannah George,R-Hand,4 Darby Trull,L-Hand,,LM,,Foul,1--2,1--1,,,,,0 Out,Bunt Attempt,1. Inning,UNC,Virginia Tech,,225;351,PITCH
PITCH (20),209870,14376,R1,04-21-2019,42 Hannah George,R-Hand,4 Darby Trull,L-Hand,,MR,,Ball in Play,,1--2,2B3,Single,,,0 Out,,1. Inning,UNC,Virginia Tech,307;231,300;270,PITCH
PITCH (21),224279,7841,R12,04-21-2019,42 Hannah George,R-Hand,13 Caitlyn Nolan,R-Hand,,LR,,Foul,0--1,0--0,,,,,0 Out,,1. Inning,UNC,Virginia Tech,,328;375,PITCH
PITCH (22),232153,12627,R12,04-21-2019,42 Hannah George,R-Hand,13 Caitlyn Nolan,R-Hand,,UPL,,Foul,0--2,0--1,,,,,0 Out,,1. Inning,UNC,Virginia Tech,,185;197,PITCH
PITCH (23),244814,8919,R12,04-21-2019,42 Hannah George,R-Hand,13 Caitlyn Nolan,R-Hand,,UPM,,Ball,1--2,0--2,,,,,0 Out,,1. Inning,UNC,Virginia Tech,,190;51,PITCH
PITCH (24),253766,8881,R12,04-21-2019,42 Hannah George,R-Hand,13 Caitlyn Nolan,R-Hand,,UPM,,Ball,2--2,1--2,,,,,0 Out,,1. Inning,UNC,Virginia Tech,,260;39,PITCH
PITCH (25),262681,10993,R12,04-21-2019,42 Hannah George,R-Hand,13 Caitlyn Nolan,R-Hand,,MR,,Foul,2--2,2--2,,,,,0 Out,,1. Inning,UNC,Virginia Tech,,298;253,PITCH
PITCH (26),273708,8957,R12,04-21-2019,42 Hannah George,R-Hand,13 Caitlyn Nolan,R-Hand,,LEFTM,,Ball,3--2,2--2,,,,,0 Out,,1. Inning,UNC,Virginia Tech,,75;279,PITCH
PITCH (27),282698,9500,R12,04-21-2019,42 Hannah George,R-Hand,13 Caitlyn Nolan,R-Hand,,UPM,,Foul,3--2,3--2,,,,,0 Out,,1. Inning,UNC,Virginia Tech,,264;153,PITCH
PITCH (28),292231,10893,R12,04-21-2019,42 Hannah George,R-Hand,13 Caitlyn Nolan,R-Hand,Change Up,UPM,,Strike Swinging,Strikeout,3--2,,,,,0 Out,,1. Inning,UNC,Virginia Tech,,283;191,PITCH
