Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,3. Pitch Type,4. Pitch Location,5. Catcher Throw Down,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,8. Well Hit,9. Outs,Hitting Position,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location
PITCH (1),0,12930,Bases Empty,3/16/2019,25 Devin Wallace,R-Hand,9 Al Velazquez,L-Hand,Curve Ball,UPM,,Ball,2--0,1--0,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,214;76
PITCH (2),12946,9074,Bases Empty,3/16/2019,25 Devin Wallace,R-Hand,9 Al Velazquez,L-Hand,Rise Ball,LEFTM,,Ball,3--0,2--0,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,90;168
PITCH (3),22037,15310,Bases Empty,3/16/2019,25 Devin Wallace,R-Hand,9 Al Velazquez,L-Hand,Fastball,UPL,,Strike Called,3--1,3--0,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,115;121
PITCH (4),37364,11874,Bases Empty,3/16/2019,25 Devin Wallace,R-Hand,9 Al Velazquez,L-Hand,Drop Ball,UPM,,Ball,Walk,3--1,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,406;90
PITCH (5),49254,10840,R1,3/16/2019,25 Devin Wallace,R-Hand,4 Darby Trull,L-Hand,Fastball,UPM,,WP-PB,1--0,0--0,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,166;56
PITCH (6),60111,14228,R2,3/16/2019,25 Devin Wallace,R-Hand,4 Darby Trull,L-Hand,Fastball,UPL,,Ball,2--0,1--0,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,162;136
PITCH (7),74356,8328,R2,3/16/2019,25 Devin Wallace,R-Hand,4 Darby Trull,L-Hand,Fastball,UPM,,Ball,3--0,2--0,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,254;65
PITCH (8),82700,13919,R2,3/16/2019,25 Devin Wallace,R-Hand,4 Darby Trull,L-Hand,Fastball,UPM,,Strike Called,3--1,3--0,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,212;199
PITCH (9),96636,12262,R2,3/16/2019,25 Devin Wallace,R-Hand,4 Darby Trull,L-Hand,Curve Ball,LEFTM,,Ball,Walk,3--1,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,77;251
PITCH (10),108914,10236,R12,3/16/2019,25 Devin Wallace,R-Hand,13 Caitlyn Nolan,R-Hand,Curve Ball,LEFTM,,WP-PB,1--0,0--0,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,87;346
PITCH (11),119168,9279,R23,3/16/2019,25 Devin Wallace,R-Hand,13 Caitlyn Nolan,R-Hand,Drop Ball,DOWNM,,Ball,2--0,1--0,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,120;419
PITCH (12),128463,14327,R23,3/16/2019,25 Devin Wallace,R-Hand,13 Caitlyn Nolan,R-Hand,Curve Ball,LEFTM,,Ball,3--0,2--0,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,66;134
PITCH (13),142807,11265,NO CHANGE,3/16/2019,25 Devin Wallace,R-Hand,13 Caitlyn Nolan,R-Hand,Rise Ball,UPM,,Ball,Walk,3--0,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,319;92
PITCH (14),154089,26103,R123,3/16/2019,21 Sydney Nester,R-Hand,14 Emma Strouth,R-Hand,Fastball,MM,,Ball in Play,,0--0,Home Run CF2,Home Run,4 RBI,Well Hit Ball,0 Out,,1. Inning,NC State,Virginia Tech,,215;220
PITCH (15),180208,9080,,3/16/2019,21 Sydney Nester,R-Hand,8 Kelsey Bennett,R-Hand,Curve Ball,UPR,,Strike Called,0--1,0--0,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,371;176
PITCH (16),189305,13714,,3/16/2019,21 Sydney Nester,R-Hand,8 Kelsey Bennett,R-Hand,Rise Ball,RIGHTM,,Ball,1--1,0--1,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,456;232
PITCH (17),203035,10432,,3/16/2019,21 Sydney Nester,R-Hand,8 Kelsey Bennett,R-Hand,Screw Ball,RIGHTM,,Ball,2--1,1--1,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,436;295
PITCH (18),213483,9923,,3/16/2019,21 Sydney Nester,R-Hand,8 Kelsey Bennett,R-Hand,Screw Ball,ML,,Strike Called,2--2,2--1,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,105;290
PITCH (19),223423,17353,,3/16/2019,21 Sydney Nester,R-Hand,8 Kelsey Bennett,R-Hand,Change Up,MM,,Ball in Play,,2--2,DLCF,Single,,,0 Out,,1. Inning,NC State,Virginia Tech,154;65,291;242
PITCH (20),240793,11043,R1,3/16/2019,21 Sydney Nester,R-Hand,2 Jayme Bailey,R-Hand,Drop Ball,DOWNM,,Ball,1--0,0--0,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,369;485
PITCH (21),251852,13169,R1,3/16/2019,21 Sydney Nester,R-Hand,3 Jayme Bailey,R-Hand,Drop Ball,RIGHTM,,Ball,2--0,1--0,,,,,0 Out,,1. Inning,NC State,Virginia Tech,,410;171
PITCH (22),265038,19378,R1,3/16/2019,21 Sydney Nester,R-Hand,4 Jayme Bailey,R-Hand,Rise Ball,LM,,Ball in Play,,2--0,SS3,Fielders Choice,,,0 Out,,1. Inning,NC State,Virginia Tech,205;220,212;386
PITCH (23),284433,11145,,3/16/2019,21 Sydney Nester,R-Hand,6 Lauren Duff,R-Hand,Drop Ball,UPM,,Ball,1--0,0--0,,,,,1 Out,,1. Inning,NC State,Virginia Tech,,363;82
PITCH (24),295595,10346,,3/16/2019,21 Sydney Nester,R-Hand,6 Lauren Duff,R-Hand,Screw Ball,LEFTM,,Ball,2--0,1--0,,,,,1 Out,,1. Inning,NC State,Virginia Tech,,89;385
PITCH (25),305958,10788,,3/16/2019,21 Sydney Nester,R-Hand,6 Lauren Duff,R-Hand,Drop Ball,LR,,Strike Called,2--1,2--0,,,,,1 Out,,1. Inning,NC State,Virginia Tech,,393;332
PITCH (26),316762,10413,,3/16/2019,21 Sydney Nester,R-Hand,6 Lauren Duff,R-Hand,Screw Ball,MR,,Ball,3--1,2--1,,,,,1 Out,,1. Inning,NC State,Virginia Tech,,306;239
PITCH (27),327192,9424,,3/16/2019,21 Sydney Nester,R-Hand,6 Lauren Duff,R-Hand,Change Up,RIGHTM,,Foul,3--2,3--1,,,,,1 Out,,1. Inning,NC State,Virginia Tech,,409;194
PITCH (28),336633,16768,,3/16/2019,21 Sydney Nester,R-Hand,6 Lauren Duff,R-Hand,Drop Ball,LM,,Ball in Play,,3--2,3B3,Fielders Choice,,,1 Out,,1. Inning,NC State,Virginia Tech,204;261,230;323
PITCH (29),353418,9075,R1,3/16/2019,21 Sydney Nester,R-Hand,18 Mackenzie Lawter,R-Hand,Change Up,LEFTM,,Ball,1--0,0--0,,,,,2 Out,,1. Inning,NC State,Virginia Tech,,81;190
PITCH (30),362509,22198,R1,3/16/2019,21 Sydney Nester,R-Hand,18 Mackenzie Lawter,R-Hand,Curve Ball,ML,,Ball in Play,,1--0,FBC,Fly Out,,,2 Out,,1. Inning,NC State,Virginia Tech,261;384,187;239
PITCH (31),384723,11467,Bases Empty,3/16/2019,3 Keely Rochard,R-Hand,3 Sam Russ,L-Hand,Back Curve,UPM,,Ball,1--0,0--0,,,,,0 Out,,1. Inning,Virginia Tech,NC State,,205;56
PITCH (32),396207,10549,Bases Empty,3/16/2019,3 Keely Rochard,R-Hand,3 Sam Russ,L-Hand,Rise Ball,UPM,,Ball,2--0,1--0,,,,,0 Out,,1. Inning,Virginia Tech,NC State,,185;12
PITCH (33),406773,13948,Bases Empty,3/16/2019,3 Keely Rochard,R-Hand,3 Sam Russ,L-Hand,Rise Ball,RIGHTM,,Ball,3--0,2--0,,,,,0 Out,Bunt Attempt,1. Inning,Virginia Tech,NC State,,412;132
PITCH (34),420738,9485,Bases Empty,3/16/2019,3 Keely Rochard,R-Hand,3 Sam Russ,L-Hand,Rise Ball,UPM,,Ball,Walk,3--0,,,,,0 Out,,1. Inning,Virginia Tech,NC State,,98;83
PITCH (35),430239,10503,R1,3/16/2019,3 Keely Rochard,R-Hand,28 Brigette Nordberg,R-Hand,Curve Ball,UPM,,Ball,1--0,0--0,,,,,0 Out,,1. Inning,Virginia Tech,NC State,,38;86
PITCH (36),440759,10242,R1,3/16/2019,3 Keely Rochard,R-Hand,28 Brigette Nordberg,R-Hand,Rise Ball,UPM,,Ball,2--0,1--0,,,,,0 Out,,1. Inning,Virginia Tech,NC State,,402;87
PITCH (37),451018,8855,R1,3/16/2019,3 Keely Rochard,R-Hand,28 Brigette Nordberg,R-Hand,Screw Ball,DOWNM,,Ball,3--0,2--0,,,,,0 Out,,1. Inning,Virginia Tech,NC State,,425;440
PITCH (38),459890,11503,R1,3/16/2019,3 Keely Rochard,R-Hand,28 Brigette Nordberg,R-Hand,Change Up,UPM,,Ball,Walk,3--0,,,,,0 Out,,1. Inning,Virginia Tech,NC State,,411;63
PITCH (39),471409,10204,R12,3/16/2019,25 Carrie Eberle,R-Hand,10 Logan Morris,R-Hand,Rise Ball,LL,,Strike Called,0--1,0--0,,,,,0 Out,,1. Inning,Virginia Tech,NC State,,198;309
PITCH (40),481630,10739,R12,3/16/2019,25 Carrie Eberle,R-Hand,10 Logan Morris,R-Hand,Curve Ball,LEFTM,,Ball,1--1,0--1,,,,,0 Out,,1. Inning,Virginia Tech,NC State,,61;370
PITCH (41),492386,10832,R12,3/16/2019,25 Carrie Eberle,R-Hand,10 Logan Morris,R-Hand,Curve Ball,RIGHTM,,Ball,2--1,1--1,,,,,0 Out,,1. Inning,Virginia Tech,NC State,,456;391
PITCH (42),503235,20912,R12,3/16/2019,25 Carrie Eberle,R-Hand,10 Logan Morris,R-Hand,Drop Ball,MM,,Ball in Play,,2--1,SS3,Ground Out,,,0 Out,,1. Inning,Virginia Tech,NC State,204;222,225;287
PITCH (43),524164,12760,R3,3/16/2019,25 Carrie Eberle,R-Hand,34 Skylar Johnston,R-Hand,Drop Ball,ML,,Foul,0--1,0--0,,,,,2 Out,,1. Inning,Virginia Tech,NC State,,127;255
PITCH (44),536941,13320,R3,3/16/2019,25 Carrie Eberle,R-Hand,34 Skylar Johnston,R-Hand,Curve Ball,LEFTM,,Ball,1--1,0--1,,,,,2 Out,,1. Inning,Virginia Tech,NC State,,67;322
PITCH (45),550278,16480,NO CHANGE,3/16/2019,25 Carrie Eberle,R-Hand,34 Skylar Johnston,R-Hand,Curve Ball,LM,,Ball in Play,,1--1,3B3,Ground Out,,,2 Out,,1. Inning,Virginia Tech,NC State,200;256,294;313
PITCH (46),566774,8760,Bases Empty,3/16/2019,21 Sydney Nester,R-Hand,29 Maddi Banks,L-Hand,Screw Ball,UPM,,Ball,1--0,0--0,,,,,0 Out,,2. Inning,NC State,Virginia Tech,,126;49
PITCH (47),575551,7708,Bases Empty,3/16/2019,21 Sydney Nester,R-Hand,29 Maddi Banks,L-Hand,Change Up,LR,,Foul,1--1,1--0,,,,,0 Out,,2. Inning,NC State,Virginia Tech,,332;402
PITCH (48),583276,22321,Bases Empty,3/16/2019,21 Sydney Nester,R-Hand,29 Maddi Banks,L-Hand,Curve Ball,UPR,,Ball in Play,,1--1,Home Run LCF,Home Run,,Well Hit Ball,0 Out,Slap Attempt,2. Inning,NC State,Virginia Tech,,318;188
PITCH (49),605613,16129,,3/16/2019,21 Sydney Nester,R-Hand,9 Al Velazquez,L-Hand,Screw Ball,DOWNM,,Strike Swinging,0--1,0--0,,,,,0 Out,Bunt Attempt,2. Inning,NC State,Virginia Tech,,164;435
PITCH (50),621759,15705,,3/16/2019,21 Sydney Nester,R-Hand,9 Al Velazquez,L-Hand,Curve Ball,MR,,Foul,0--2,0--1,,,,,0 Out,Slap Attempt,2. Inning,NC State,Virginia Tech,,374;225
PITCH (51),637481,10362,,3/16/2019,21 Sydney Nester,R-Hand,9 Al Velazquez,L-Hand,Screw Ball,LEFTM,,Ball,1--2,0--2,,,,,0 Out,,2. Inning,NC State,Virginia Tech,,75;312
PITCH (52),647859,20271,,3/16/2019,21 Sydney Nester,R-Hand,9 Al Velazquez,L-Hand,Change Up,MR,,Ball in Play,,1--2,SS3,Single,,,0 Out,,2. Inning,NC State,Virginia Tech,186;213,371;246
PITCH (53),668146,10059,R1,3/16/2019,21 Sydney Nester,R-Hand,4 Darby Trull,L-Hand,Rise Ball,RIGHTM,,Ball,1--0,0--0,,,,,,,2. Inning,NC State,Virginia Tech,,415;273
PITCH (54),678222,21229,CHANGE PITCHER,3/16/2019,21 Sydney Nester,R-Hand,4 Darby Trull,L-Hand,Back Curve,MM,,Ball in Play,,1--0,Home Run CF2,Home Run,2 RBI,Well Hit Ball,,,2. Inning,NC State,Virginia Tech,,278;235
PITCH (55),699468,8947,,3/16/2019,18 Kama Woodall,R-Hand,13 Caitlyn Nolan,R-Hand,Curve Ball,RIGHTM,,Ball,1--0,0--0,,,,,,,2. Inning,NC State,Virginia Tech,,407;273
PITCH (56),708431,10488,,3/16/2019,18 Kama Woodall,R-Hand,13 Caitlyn Nolan,R-Hand,Screw Ball,LEFTM,,Ball,2--0,1--0,,,,,,,2. Inning,NC State,Virginia Tech,,64;226
PITCH (57),718935,12276,,3/16/2019,18 Kama Woodall,R-Hand,13 Caitlyn Nolan,R-Hand,Curve Ball,MR,,Strike Called,2--1,2--0,,,,,,,2. Inning,NC State,Virginia Tech,,387;293
PITCH (58),731228,18715,,3/16/2019,18 Kama Woodall,R-Hand,13 Caitlyn Nolan,R-Hand,Screw Ball,MR,,Ball in Play,,2--1,3B2,Ground Out,,,,,2. Inning,NC State,Virginia Tech,191;269,388;217
PITCH (59),749960,10200,Bases Empty,3/16/2019,18 Kama Woodall,R-Hand,14 Emma Strouth,R-Hand,Screw Ball,RIGHTM,,Ball,1--0,0--0,,,,,1 Out,,2. Inning,NC State,Virginia Tech,,408;297
PITCH (60),760176,9970,Bases Empty,3/16/2019,18 Kama Woodall,R-Hand,14 Emma Strouth,R-Hand,Fastball,LEFTM,,Ball,2--0,1--0,,,,,1 Out,,2. Inning,NC State,Virginia Tech,,92;232
PITCH (61),770163,9923,Bases Empty,3/16/2019,18 Kama Woodall,R-Hand,14 Emma Strouth,R-Hand,Curve Ball,RIGHTM,,Foul,2--1,2--0,,,,,1 Out,,2. Inning,NC State,Virginia Tech,,405;205
PITCH (62),780103,15454,Bases Empty,3/16/2019,18 Kama Woodall,R-Hand,14 Emma Strouth,R-Hand,Screw Ball,MR,,Ball in Play,,2--1,SS3,Ground Out,,,1 Out,,2. Inning,NC State,Virginia Tech,197;243,335;299
PITCH (63),795573,13883,,3/16/2019,18 Kama Woodall,R-Hand,8 Kelsey Bennett,R-Hand,Screw Ball,RIGHTM,,Ball,1--0,0--0,,,,,2 Out,,2. Inning,NC State,Virginia Tech,,430;144
PITCH (64),809473,16175,,3/16/2019,18 Kama Woodall,R-Hand,8 Kelsey Bennett,R-Hand,Rise Ball,LR,,Ball in Play,,1--0,PF,Single,,,2 Out,,2. Inning,NC State,Virginia Tech,229;302,334;309
PITCH (65),825665,12442,R1,3/16/2019,18 Kama Woodall,R-Hand,2 Jayme Bailey,R-Hand,Change Up,MR,,Strike Called,0--1,0--0,,,,,,,2. Inning,NC State,Virginia Tech,,394;287
PITCH (66),838124,7992,R1,3/16/2019,18 Kama Woodall,R-Hand,2 Jayme Bailey,R-Hand,Screw Ball,LEFTM,,Ball,1--1,0--1,,,,,,,2. Inning,NC State,Virginia Tech,,85;182
PITCH (67),846132,9599,R1,3/16/2019,18 Kama Woodall,R-Hand,2 Jayme Bailey,R-Hand,Curve Ball,RIGHTM,,Ball,2--1,1--1,,,,,,,2. Inning,NC State,Virginia Tech,,464;371
PITCH (68),855747,11006,R1,3/16/2019,18 Kama Woodall,R-Hand,2 Jayme Bailey,R-Hand,Drop Ball,UPM,,Ball,3--1,2--1,,,,,,,2. Inning,NC State,Virginia Tech,,251;60
PITCH (69),866770,17916,R1,3/16/2019,18 Kama Woodall,R-Hand,2 Jayme Bailey,R-Hand,Change Up,ML,,Ball in Play,,3--1,Home Run RCF,Home Run,2 RBI,Well Hit Ball,,,2. Inning,NC State,Virginia Tech,,125;235
PITCH (70),884702,13910,,3/16/2019,18 Kama Woodall,R-Hand,6 Lauren Duff,R-Hand,Curve Ball,MR,,Ball in Play,,0--0,1B2,Fly Out,,,,,2. Inning,NC State,Virginia Tech,292;285,394;217
