Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,3. Pitch Type,4. Pitch Location,5. Catcher Throw Down,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,9. Outs,Hitting Position,Mark for Review,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location
PITCH (1),0,11361,Bases Empty,3/17/2019,25 Devin Wallace,R-Hand,9 Al Velazquez,L-Hand,Screw Ball,RIGHTM,,Strike Called,0--1,0--0,,,,0 Out,,,1. Inning,NC State,Virginia Tech,,401;271
PITCH (2),11378,9616,Bases Empty,3/17/2019,25 Devin Wallace,R-Hand,9 Al Velazquez,L-Hand,Drop Ball,DOWNM,,Ball,1--1,0--1,,,,0 Out,,,1. Inning,NC State,Virginia Tech,,402;461
PITCH (3),21011,10092,Bases Empty,3/17/2019,25 Devin Wallace,R-Hand,9 Al Velazquez,L-Hand,Screw Ball,MR,,Strike Called,1--2,1--1,,,,0 Out,,,1. Inning,NC State,Virginia Tech,,394;247
PITCH (4),31120,14723,Bases Empty,3/17/2019,25 Devin Wallace,R-Hand,9 Al Velazquez,L-Hand,Drop Ball,MR,,Ball in Play,,1--2,SS3,Ground Out,,0 Out,,,1. Inning,NC State,Virginia Tech,188;231,367;258
PITCH (5),45860,10813,Bases Empty,3/17/2019,25 Devin Wallace,R-Hand,4 Darby Trull,L-Hand,Screw Ball,LR,,Strike Called,0--1,0--0,,,,1 Out,,,1. Inning,NC State,Virginia Tech,,391;327
PITCH (6),56689,10088,Bases Empty,3/17/2019,25 Devin Wallace,R-Hand,4 Darby Trull,L-Hand,Rise Ball,MR,,Strike Called,0--2,0--1,,,,1 Out,,,1. Inning,NC State,Virginia Tech,,392;208
PITCH (7),66794,10293,Bases Empty,3/17/2019,25 Devin Wallace,R-Hand,4 Darby Trull,L-Hand,Screw Ball,RIGHTM,,Ball,1--2,0--2,,,,1 Out,,,1. Inning,NC State,Virginia Tech,,455;150
PITCH (8),77104,9840,Bases Empty,3/17/2019,25 Devin Wallace,R-Hand,4 Darby Trull,L-Hand,Drop Ball,DOWNM,,Ball,2--2,1--2,,,,1 Out,,,1. Inning,NC State,Virginia Tech,,428;416
PITCH (9),86960,15103,Bases Empty,3/17/2019,25 Devin Wallace,R-Hand,4 Darby Trull,L-Hand,Curve Ball,MR,,Ball in Play,,2--2,SLF,Fly Out,,1 Out,,,1. Inning,NC State,Virginia Tech,140;215,355;287
PITCH (10),102079,9467,Bases Empty,3/17/2019,25 Devin Wallace,R-Hand,13 Caitlyn Nolan,R-Hand,Rise Ball,MM,,Strike Swinging,0--1,0--0,,,,2 Out,,,1. Inning,NC State,Virginia Tech,,284;258
PITCH (11),111563,10024,Bases Empty,3/17/2019,25 Devin Wallace,R-Hand,13 Caitlyn Nolan,R-Hand,Screw Ball,RIGHTM,,Hit by Pitch,,0--1,,,,2 Out,,,1. Inning,NC State,Virginia Tech,,451;221
PITCH (12),121603,8165,R1,3/17/2019,25 Devin Wallace,R-Hand,14 Emma Strouth,R-Hand,Fastball,RIGHTM,,Ball,1--0,0--0,,,,2 Out,,,1. Inning,NC State,Virginia Tech,,437;245
PITCH (13),129785,9142,R1,3/17/2019,25 Devin Wallace,R-Hand,14 Emma Strouth,R-Hand,Curve Ball,UPL,,Strike Swinging,1--1,1--0,,,,2 Out,,,1. Inning,NC State,Virginia Tech,,136;119
PITCH (14),138944,9275,R1,3/17/2019,25 Devin Wallace,R-Hand,14 Emma Strouth,R-Hand,Drop Ball,RIGHTM,,Ball,2--1,1--1,,,,2 Out,,,1. Inning,NC State,Virginia Tech,,442;403
PITCH (15),148236,15535,R1,3/17/2019,25 Devin Wallace,R-Hand,14 Emma Strouth,R-Hand,Rise Ball,UPM,,Strike Swinging,2--2,2--1,,,,2 Out,,Mark for Review,1. Inning,NC State,Virginia Tech,,219;137
PITCH (16),163788,15995,R1,3/17/2019,25 Devin Wallace,R-Hand,14 Emma Strouth,R-Hand,Rise Ball,UPM,,Foul,2--2,2--2,,,,2 Out,,Mark for Review,1. Inning,NC State,Virginia Tech,,200;130
PITCH (17),179800,5884,R1,3/17/2019,25 Devin Wallace,R-Hand,14 Emma Strouth,R-Hand,Rise Ball,UPL,,Foul,2--2,2--2,,,,2 Out,,,1. Inning,NC State,Virginia Tech,,188;184
PITCH (18),185700,9491,R1,3/17/2019,25 Devin Wallace,R-Hand,14 Emma Strouth,R-Hand,Screw Ball,UPM,,Foul,2--2,2--2,,,,2 Out,,,1. Inning,NC State,Virginia Tech,,219;175
PITCH (19),195207,13601,Bases Empty,3/17/2019,25 Devin Wallace,R-Hand,14 Emma Strouth,R-Hand,Drop Ball,MR,,Strike Called,Strikeout,2--2,,,,0 Out,,,1. Inning,NC State,Virginia Tech,,379;211
PITCH (20),208825,11330,Bases Empty,3/17/2019,25 Carrie Eberle,R-Hand,3 Sam Russ,L-Hand,Drop Ball,DOWNM,,Ball,1--0,0--0,,,,0 Out,,,1. Inning,Virginia Tech,NC State,,253;427
PITCH (21),220171,12937,Bases Empty,3/17/2019,25 Carrie Eberle,R-Hand,3 Sam Russ,L-Hand,Rise Ball,DOWNM,,Ball,2--0,1--0,,,,0 Out,Bunt Attempt,,1. Inning,Virginia Tech,NC State,,151;431
PITCH (22),233125,10927,Bases Empty,3/17/2019,25 Carrie Eberle,R-Hand,3 Sam Russ,L-Hand,Drop Ball,UPM,,Ball,3--0,2--0,,,,0 Out,,,1. Inning,Virginia Tech,NC State,,257;94
PITCH (23),244068,11824,Bases Empty,3/17/2019,25 Carrie Eberle,R-Hand,3 Sam Russ,L-Hand,Drop Ball,LM,,Strike Called,3--1,3--0,,,,0 Out,,,1. Inning,Virginia Tech,NC State,,239;321
PITCH (24),255908,12704,R1,3/17/2019,25 Carrie Eberle,R-Hand,3 Sam Russ,L-Hand,Screw Ball,DOWNM,,Ball,Walk,3--1,,,,0 Out,,,1. Inning,Virginia Tech,NC State,,402;423
PITCH (25),268629,23032,R12,3/17/2019,25 Carrie Eberle,R-Hand,28 Brigette Nordberg,R-Hand,Drop Ball,LR,,Ball in Play,,0--0,SS3,Single,,0 Out,,,1. Inning,Virginia Tech,NC State,191;234,388;322
PITCH (26),291678,11617,R12,3/17/2019,25 Carrie Eberle,R-Hand,10 Logan Morris,R-Hand,Curve Ball,DOWNM,,Ball,1--0,0--0,,,,0 Out,,,1. Inning,Virginia Tech,NC State,,243;432
PITCH (27),303312,12238,R12,3/17/2019,25 Carrie Eberle,R-Hand,10 Logan Morris,R-Hand,Curve Ball,ML,,Strike Called,1--1,1--0,,,,0 Out,,,1. Inning,Virginia Tech,NC State,,106;248
PITCH (28),315566,10189,R12,3/17/2019,25 Carrie Eberle,R-Hand,10 Logan Morris,R-Hand,Curve Ball,LEFTM,,Ball,2--1,1--1,,,,0 Out,,,1. Inning,Virginia Tech,NC State,,65;187
PITCH (29),325772,11686,R12,3/17/2019,25 Carrie Eberle,R-Hand,10 Logan Morris,R-Hand,Screw Ball,LEFTM,,Strike Called,2--2,2--1,,,,0 Out,,,1. Inning,Virginia Tech,NC State,,96;254
PITCH (30),337475,15698,R3,3/17/2019,25 Carrie Eberle,R-Hand,10 Logan Morris,R-Hand,Screw Ball,LM,,Ball in Play,,2--2,SS3,Ground Out,,2 Out,,,1. Inning,Virginia Tech,NC State,213;217,239;313
PITCH (31),353190,15412,Bases Empty,3/17/2019,25 Carrie Eberle,R-Hand,34 Skylar Johnston,R-Hand,Drop Ball,MR,,Ball in Play,,0--0,SS3,Ground Out,,0 Out,,,1. Inning,Virginia Tech,NC State,197;226,315;299
PITCH (32),368618,10620,Bases Empty,3/17/2019,25 Devin Wallace,R-Hand,8 Kelsey Bennett,R-Hand,Curve Ball,RIGHTM,,Ball,1--0,0--0,,,,0 Out,,,2. Inning,NC State,Virginia Tech,,426;271
PITCH (33),379255,8952,Bases Empty,3/17/2019,25 Devin Wallace,R-Hand,8 Kelsey Bennett,R-Hand,Rise Ball,ML,,Strike Swinging,1--1,1--0,,,,0 Out,,,2. Inning,NC State,Virginia Tech,,175;214
PITCH (34),388223,10786,Bases Empty,3/17/2019,25 Devin Wallace,R-Hand,8 Kelsey Bennett,R-Hand,Change Up,UPM,,Foul,1--2,1--1,,,,0 Out,,,2. Inning,NC State,Virginia Tech,,233;136
PITCH (35),399026,9046,Bases Empty,3/17/2019,25 Devin Wallace,R-Hand,8 Kelsey Bennett,R-Hand,Fastball,DOWNM,,Ball,2--2,1--2,,,,0 Out,,,2. Inning,NC State,Virginia Tech,,242;477
PITCH (36),408088,9535,Bases Empty,3/17/2019,25 Devin Wallace,R-Hand,8 Kelsey Bennett,R-Hand,Rise Ball,RIGHTM,,Ball,3--2,2--2,,,,0 Out,,,2. Inning,NC State,Virginia Tech,,440;232
PITCH (37),417639,9040,R1,3/17/2019,25 Devin Wallace,R-Hand,8 Kelsey Bennett,R-Hand,Change Up,RIGHTM,,Ball,Walk,3--2,,,,0 Out,,,2. Inning,NC State,Virginia Tech,,483;244
PITCH (38),426696,9703,R1,3/17/2019,25 Devin Wallace,R-Hand,2 Jayme Bailey,R-Hand,Curve Ball,UPM,,Ball,1--0,0--0,,,,0 Out,,,2. Inning,NC State,Virginia Tech,,108;17
PITCH (39),436416,10571,R1,3/17/2019,25 Devin Wallace,R-Hand,2 Jayme Bailey,R-Hand,Fastball,LEFTM,,Ball,2--0,1--0,,,,0 Out,,,2. Inning,NC State,Virginia Tech,,69;238
PITCH (40),447003,13792,R1,3/17/2019,25 Devin Wallace,R-Hand,2 Jayme Bailey,R-Hand,Rise Ball,MR,,Ball in Play,,2--0,1B3,Fly Out,,1 Out,,,2. Inning,NC State,Virginia Tech,319;235,359;259
PITCH (41),460812,9173,R1,3/17/2019,25 Devin Wallace,R-Hand,6 Lauren Duff,R-Hand,Rise Ball,UPM,,Strike Swinging,0--1,0--0,,,,1 Out,,,2. Inning,NC State,Virginia Tech,,265;99
PITCH (42),470002,16216,R12,3/17/2019,25 Devin Wallace,R-Hand,6 Lauren Duff,R-Hand,Drop Ball,MR,,Ball in Play,,0--1,3B3,Fielders Choice,,1 Out,,Mark for Review,2. Inning,NC State,Virginia Tech,196;259,393;285
PITCH (43),486235,9125,R23,3/17/2019,25 Devin Wallace,R-Hand,18 Mackenzie Lawter,R-Hand,Drop Ball,DOWNM,,WP-PB,1--0,0--0,,,,1 Out,,,2. Inning,NC State,Virginia Tech,,407;435
PITCH (44),495377,9025,R23,3/17/2019,25 Devin Wallace,R-Hand,18 Mackenzie Lawter,R-Hand,Fastball,DOWNM,,Ball,2--0,1--0,,,,1 Out,,,2. Inning,NC State,Virginia Tech,,374;433
PITCH (45),504418,9247,R23,3/17/2019,25 Devin Wallace,R-Hand,18 Mackenzie Lawter,R-Hand,Fastball,RIGHTM,,Ball,3--0,2--0,,,,1 Out,,,2. Inning,NC State,Virginia Tech,,456;375
PITCH (46),513682,11547,R23,3/17/2019,25 Devin Wallace,R-Hand,18 Mackenzie Lawter,R-Hand,Fastball,MR,,Strike Called,3--1,3--0,,,,1 Out,,,2. Inning,NC State,Virginia Tech,,392;299
PITCH (47),525246,13268,R23,3/17/2019,25 Devin Wallace,R-Hand,18 Mackenzie Lawter,R-Hand,Curve Ball,MR,,Ball in Play,,3--1,SS3,Fly Out,,2 Out,,,2. Inning,NC State,Virginia Tech,200;227,367;242
PITCH (48),538531,8782,R23,3/17/2019,25 Devin Wallace,R-Hand,28 Grace Chavez,R-Hand,Fastball,UPM,,Ball,1--0,0--0,,,,2 Out,,,2. Inning,NC State,Virginia Tech,,72;99
PITCH (49),547330,10377,R23,3/17/2019,25 Devin Wallace,R-Hand,28 Grace Chavez,R-Hand,Drop Ball,UPM,,Foul,1--1,1--0,,,,2 Out,,,2. Inning,NC State,Virginia Tech,,232;191
PITCH (50),557724,8681,R23,3/17/2019,25 Devin Wallace,R-Hand,28 Grace Chavez,R-Hand,Fastball,DOWNM,,Ball,2--1,1--1,,,,2 Out,,,2. Inning,NC State,Virginia Tech,,374;410
PITCH (51),566422,9640,R23,3/17/2019,25 Devin Wallace,R-Hand,28 Grace Chavez,R-Hand,Drop Ball,RIGHTM,,Ball,3--1,2--1,,,,2 Out,,,2. Inning,NC State,Virginia Tech,,418;172
