Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,3. Pitch Type,4. Pitch Location,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,9. Outs,Hitting Position,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location,Z-Game Details
Virginia Tech vs Duke,0,13966,Bases Empty,04-21-2018,3 Keely Rochard,R-Hand,34 Rachel Abboud,L-Hand,,LEFTM2,Ball,Hit By Pitch,0--0,,,,0 Out,,1. Inning,Virginia Tech,Duke,,43;208,Virginia Tech vs Duke
Virginia Tech vs Duke (1),13966,11466,R1,04-21-2018,3 Keely Rochard,R-Hand,3 Haley Wymbs,L-Hand,,MR3,Foul,0--1,0--0,,,,0 Out,,1. Inning,Virginia Tech,Duke,,300;271,Virginia Tech vs Duke
Virginia Tech vs Duke (2),25433,13166,R1,04-21-2018,3 Keely Rochard,R-Hand,3 Haley Wymbs,L-Hand,,UPM3,Ball,1--1,0--1,,,,0 Out,,1. Inning,Virginia Tech,Duke,,276;57,Virginia Tech vs Duke
Virginia Tech vs Duke (3),38599,18566,R1,04-21-2018,3 Keely Rochard,R-Hand,3 Haley Wymbs,L-Hand,,ML4,Ball in Play,,1--1,PF,,,0 Out,Bunt,1. Inning,Virginia Tech,Duke,274;298,160;282,Virginia Tech vs Duke
Virginia Tech vs Duke (4),57165,13100,R12,04-21-2018,3 Keely Rochard,R-Hand,14 Raine Wilson,R-Hand,,ML1,Strike Swinging,0--1,0--0,,,,0 Out,,1. Inning,Virginia Tech,Duke,,156;207,Virginia Tech vs Duke
Virginia Tech vs Duke (5),70265,21800,R12,04-21-2018,3 Keely Rochard,R-Hand,14 Raine Wilson,R-Hand,Rise Ball,MM2,Ball in Play,,0--1,PF,Sacrifice Bunt,,0 Out,,1. Inning,Virginia Tech,Duke,241;293,266;228,Virginia Tech vs Duke
Virginia Tech vs Duke (6),92065,10333,R23,04-21-2018,3 Keely Rochard,R-Hand,2 Jameson Kavel,R-Hand,,LEFTM1,Ball,1--0,0--0,,,,1 Out,,1. Inning,Virginia Tech,Duke,,71;173,Virginia Tech vs Duke
Virginia Tech vs Duke (7),102398,19333,R23,04-21-2018,3 Keely Rochard,R-Hand,2 Jameson Kavel,R-Hand,,UL3,Strike Called,1--1,1--0,,,,1 Out,,1. Inning,Virginia Tech,Duke,,135;159,Virginia Tech vs Duke
Virginia Tech vs Duke (8),121731,13400,R23,04-21-2018,3 Keely Rochard,R-Hand,2 Jameson Kavel,R-Hand,,UL3,Foul,1--2,1--1,,,,1 Out,,1. Inning,Virginia Tech,Duke,,127;182,Virginia Tech vs Duke
Virginia Tech vs Duke (9),135130,10633,R23,04-21-2018,3 Keely Rochard,R-Hand,2 Jameson Kavel,R-Hand,,MM2,Foul,1--2,1--2,,,,1 Out,,1. Inning,Virginia Tech,Duke,,253;222,Virginia Tech vs Duke
