Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,3. Pitch Type,4. Pitch Location,5. Catcher Throw Down,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,9. Outs,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location,Z-Game Details
Virginia Tech vs Duke,0,5300,Bases Empty,04-22-2018,25 Carrie Eberle,R-Hand,34 Rachel Abboud,L-Hand,Fast Ball,UR3,,Foul,0--1,0--0,,,,0 Out,1. Inning,Virginia Tech,Duke,,326;159,Virginia Tech vs Duke
Virginia Tech vs Duke (1),5300,5400,Bases Empty,04-22-2018,25 Carrie Eberle,R-Hand,34 Rachel Abboud,L-Hand,Fast Ball,RIGHTM3,,Ball,1--1,0--1,,,,0 Out,1. Inning,Virginia Tech,Duke,,468;360,Virginia Tech vs Duke
Virginia Tech vs Duke (2),10700,11833,Bases Empty,04-22-2018,25 Carrie Eberle,R-Hand,34 Rachel Abboud,L-Hand,Drop Ball,LR1,,Strike Swinging,Strikeout,1--2,,,,0 Out,1. Inning,Virginia Tech,Duke,,332;314,Virginia Tech vs Duke
Virginia Tech vs Duke (3),22533,9066,Bases Empty,04-22-2018,25 Carrie Eberle,R-Hand,3 Haley Wymbs,L-Hand,Fast Ball,UR2,,Ball in Play,,0--0,DLF,Single,,1 Out,1. Inning,Virginia Tech,Duke,120;140,372;157,Virginia Tech vs Duke
Virginia Tech vs Duke (4),31599,15000,R1,04-22-2018,25 Carrie Eberle,R-Hand,14 Raine Wilson,R-Hand,Drop Ball,UR3,,Ball in Play,,0--0,2B3,Fielders Choice,,,1. Inning,Virginia Tech,Duke,253;194,349;174,Virginia Tech vs Duke
Virginia Tech vs Duke (5),46599,4967,R2,04-22-2018,25 Carrie Eberle,R-Hand,2 Jameson Kavel,R-Hand,Drop Ball,UR3,,Strike Called,0--1,0--0,,,,2 Out,1. Inning,Virginia Tech,Duke,,318;184,Virginia Tech vs Duke
Virginia Tech vs Duke (6),51565,6400,R2,04-22-2018,25 Carrie Eberle,R-Hand,2 Jameson Kavel,R-Hand,Drop Ball,LEFTM3,,Ball,1--1,0--1,,,,2 Out,1. Inning,Virginia Tech,Duke,,86;371,Virginia Tech vs Duke
Virginia Tech vs Duke (7),57965,15466,R2,04-22-2018,25 Carrie Eberle,R-Hand,2 Jameson Kavel,R-Hand,Drop Ball,LR1,,Ball in Play,,1--1,PF,Ground Out,,2 Out,1. Inning,Virginia Tech,Duke,256;269,306;349,Virginia Tech vs Duke
Virginia Tech vs Duke (8),73431,7733,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,2 Caroline Schoenewald,R-Hand,,LL3,,Strike Called,0--1,0--0,,,,0 Out,1. Inning,Duke,Virginia Tech,,120;396,Virginia Tech vs Duke
Virginia Tech vs Duke (9),81164,5867,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,2 Caroline Schoenewald,R-Hand,,UL3,,Foul,0--2,0--1,,,,0 Out,1. Inning,Duke,Virginia Tech,,148;188,Virginia Tech vs Duke
Virginia Tech vs Duke (10),87031,10933,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,2 Caroline Schoenewald,R-Hand,,UR1,,Ball in Play,,0--2,SS3,Ground Out,,0 Out,1. Inning,Duke,Virginia Tech,214;243,343;138,Virginia Tech vs Duke
Virginia Tech vs Duke (11),97964,8233,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,10 Olivia Lattin,R-Hand,,UR3,,Strike Called,0--1,0--0,,,,1 Out,1. Inning,Duke,Virginia Tech,,347;171,Virginia Tech vs Duke
