Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,3. Pitch Type,4. Pitch Location,5. Catcher Throw Down,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,9. Outs,Hitting Position,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location,Z-Game Details
Virginia Tech vs Duke,0,9733,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,14 Raine Wilson,R-Hand,Fast Ball,MR2,,Foul,0--1,0--0,,,,0 Out,,1. Inning,Virginia Tech,Duke,,367;250,Virginia Tech vs Duke
Virginia Tech vs Duke (1),9733,11966,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,14 Raine Wilson,R-Hand,Drop Ball,ML1,,Ball in Play,,0--1,2B3,Ground Out,,0 Out,,1. Inning,Virginia Tech,Duke,286;244,123;221,Virginia Tech vs Duke
Virginia Tech vs Duke (2),21699,11500,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,3 Haley Wymbs,L-Hand,Fast Ball,MR4,,Foul,0--1,0--0,,,,1 Out,,1. Inning,Virginia Tech,Duke,,363;267,Virginia Tech vs Duke
Virginia Tech vs Duke (3),33199,9866,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,3 Haley Wymbs,L-Hand,Drop Ball,MR3,,Foul,0--2,0--1,,,,1 Out,,1. Inning,Virginia Tech,Duke,,353;269,Virginia Tech vs Duke
Virginia Tech vs Duke (4),43066,10733,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,3 Haley Wymbs,L-Hand,Drop Ball,ML4,,Ball,1--2,0--2,,,,1 Out,,1. Inning,Virginia Tech,Duke,,146;268,Virginia Tech vs Duke
Virginia Tech vs Duke (5),53799,12966,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,3 Haley Wymbs,L-Hand,Drop Ball,MM2,,Ball,2--2,1--2,,,,1 Out,,1. Inning,Virginia Tech,Duke,,252;256,Virginia Tech vs Duke
Virginia Tech vs Duke (6),66765,16433,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,3 Haley Wymbs,L-Hand,Drop Ball,ML1,,Ball in Play,,2--2,2B3,Ground Out,,1 Out,,1. Inning,Virginia Tech,Duke,262;240,147;217,Virginia Tech vs Duke
Virginia Tech vs Duke (7),83198,11133,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,34 Rachel Abboud,L-Hand,Fast Ball,MR1,,Strike Swinging,0--1,0--0,,,,2 Out,,1. Inning,Virginia Tech,Duke,,345;237,Virginia Tech vs Duke
Virginia Tech vs Duke (8),94331,12266,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,34 Rachel Abboud,L-Hand,Fast Ball,MR1,,Foul,0--2,0--1,,,,2 Out,,1. Inning,Virginia Tech,Duke,,335;246,Virginia Tech vs Duke
Virginia Tech vs Duke (9),106597,12933,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,34 Rachel Abboud,L-Hand,Drop Ball,LL2,,Ball,1--2,0--2,,,,2 Out,,1. Inning,Virginia Tech,Duke,,161;359,Virginia Tech vs Duke
Virginia Tech vs Duke (10),119530,14166,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,34 Rachel Abboud,L-Hand,Drop Ball,MM3,,Foul,1--2,1--2,,,,2 Out,,1. Inning,Virginia Tech,Duke,,242;308,Virginia Tech vs Duke
Virginia Tech vs Duke (11),133697,14533,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,34 Rachel Abboud,L-Hand,Changeup,UR3,,Ball in Play,,1--2,2B3,Ground Out,,2 Out,,1. Inning,Virginia Tech,Duke,294;226,346;199,Virginia Tech vs Duke
Virginia Tech vs Duke (12),148230,14233,Bases Empty,04-20-2018,19 Amelia Wiercioch,R-Hand,2 Caroline Schoenewald,R-Hand,,ML1,,Strike Called,0--1,0--0,,,,0 Out,,1. Inning,Duke,Virginia Tech,,149;255,Virginia Tech vs Duke
Virginia Tech vs Duke (13),162463,15700,Bases Empty,04-20-2018,19 Amelia Wiercioch,R-Hand,2 Caroline Schoenewald,R-Hand,,ML1,,Foul,0--2,0--1,,,,0 Out,,1. Inning,Duke,Virginia Tech,,149;230,Virginia Tech vs Duke
Virginia Tech vs Duke (14),178162,12533,Bases Empty,04-20-2018,19 Amelia Wiercioch,R-Hand,2 Caroline Schoenewald,R-Hand,,LEFTM3,,Ball,1--2,0--2,,,,0 Out,,1. Inning,Duke,Virginia Tech,,57;306,Virginia Tech vs Duke
