Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,3. Pitch Type,4. Pitch Location,5. Catcher Throw Down,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,8. Well Hit,9. Outs,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location,Z-Game Details
UVA vs Virginia Tech,0,7808,Bases Empty,04-13-2018,19 Erika Osherow,R-Hand,2 Caroline Schoenewald,R-Hand,,DOWNM5,,Ball,1--0,0--0,,,,,0 Out,1. Inning,UVA,Virginia Tech,,453;438,UVA vs Virginia Tech
UVA vs Virginia Tech (1),7808,12346,Bases Empty,04-13-2018,19 Erika Osherow,R-Hand,2 Caroline Schoenewald,R-Hand,,DOWNM4,,Ball,2--0,1--0,,,,,0 Out,1. Inning,UVA,Virginia Tech,,300;463,UVA vs Virginia Tech
UVA vs Virginia Tech (2),20153,9710,Bases Empty,04-13-2018,19 Erika Osherow,R-Hand,2 Caroline Schoenewald,R-Hand,,LM3,,Strike Called,2--1,2--0,,,,,0 Out,1. Inning,UVA,Virginia Tech,,244;391,UVA vs Virginia Tech
UVA vs Virginia Tech (3),29863,12312,Bases Empty,04-13-2018,19 Erika Osherow,R-Hand,2 Caroline Schoenewald,R-Hand,,LR2,,Strike Called,2--2,2--1,,,,,0 Out,1. Inning,UVA,Virginia Tech,,386;325,UVA vs Virginia Tech
UVA vs Virginia Tech (4),42176,12045,Bases Empty,04-13-2018,19 Erika Osherow,R-Hand,2 Caroline Schoenewald,R-Hand,,DOWNM5,,Ball,3--2,2--2,,,,,0 Out,1. Inning,UVA,Virginia Tech,,427;457,UVA vs Virginia Tech
UVA vs Virginia Tech (5),54221,10878,Bases Empty,04-13-2018,19 Erika Osherow,R-Hand,2 Caroline Schoenewald,R-Hand,,DOWNM5,,Ball,Walk,3--2,,,,,0 Out,1. Inning,UVA,Virginia Tech,,414;473,UVA vs Virginia Tech
UVA vs Virginia Tech (6),65098,14915,R1,04-13-2018,19 Erika Osherow,R-Hand,10 Olivia Lattin,R-Hand,,LR4,,Strike Called,0--1,0--0,,,,,0 Out,1. Inning,UVA,Virginia Tech,,360;368,UVA vs Virginia Tech
UVA vs Virginia Tech (7),80013,11845,R1,04-13-2018,19 Erika Osherow,R-Hand,10 Olivia Lattin,R-Hand,,UPM2,,Ball,1--1,0--1,,,,,0 Out,1. Inning,UVA,Virginia Tech,,137;77,UVA vs Virginia Tech
UVA vs Virginia Tech (8),91859,12946,R1,04-13-2018,19 Erika Osherow,R-Hand,10 Olivia Lattin,R-Hand,,MR1,,Strike Called,1--2,1--1,,,,,0 Out,1. Inning,UVA,Virginia Tech,,333;234,UVA vs Virginia Tech
UVA vs Virginia Tech (9),104805,28795,R1,04-13-2018,19 Erika Osherow,R-Hand,10 Olivia Lattin,R-Hand,,ML2,,Ball in Play,,1--2,FBC,Fly Out,,,0 Out,1. Inning,UVA,Virginia Tech,302;343,192;217,UVA vs Virginia Tech
UVA vs Virginia Tech (10),133600,7808,R1,04-13-2018,19 Erika Osherow,R-Hand,14 Emma Strouth,R-Hand,,DOWNM5,,Ball,1--0,0--0,,,,,1 Out,1. Inning,UVA,Virginia Tech,,408;452,UVA vs Virginia Tech
