Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,3. Pitch Type,4. Pitch Location,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,9. Outs,Hitting Position,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location,Z-Game Details
UVA vs Virginia Tech,0,13413,Bases Empty,04-14-2018,8 Tabby Dabney,R-Hand,2 Caroline Schoenewald,R-Hand,,MR4,Strike Called,0--1,0--0,,,,0 Out,,1. Inning,UVA,Virginia Tech,,374;308,UVA vs Virginia Tech
UVA vs Virginia Tech (1),13413,18385,Bases Empty,04-14-2018,8 Tabby Dabney,R-Hand,2 Caroline Schoenewald,R-Hand,,DOWNM4,Ball,1--1,0--1,,,,0 Out,,1. Inning,UVA,Virginia Tech,,306;470,UVA vs Virginia Tech
UVA vs Virginia Tech (2),31798,22890,Bases Empty,04-14-2018,8 Tabby Dabney,R-Hand,2 Caroline Schoenewald,R-Hand,,DOWNM2,Ball in Play,,1--1,3B3,Ground Out,,0 Out,,1. Inning,UVA,Virginia Tech,194;257,186;436,UVA vs Virginia Tech
UVA vs Virginia Tech (3),54688,9743,Bases Empty,04-14-2018,8 Tabby Dabney,R-Hand,10 Olivia Lattin,R-Hand,,LEFTM3,Ball,1--0,0--0,,,,1 Out,,1. Inning,UVA,Virginia Tech,,72;315,UVA vs Virginia Tech
UVA vs Virginia Tech (4),64431,17751,Bases Empty,04-14-2018,8 Tabby Dabney,R-Hand,10 Olivia Lattin,R-Hand,,DOWNM2,Ball,2--0,1--0,,,,1 Out,,1. Inning,UVA,Virginia Tech,,160;455,UVA vs Virginia Tech
UVA vs Virginia Tech (5),82182,13881,Bases Empty,04-14-2018,8 Tabby Dabney,R-Hand,10 Olivia Lattin,R-Hand,,DOWNM4,Ball,3--0,2--0,,,,1 Out,,1. Inning,UVA,Virginia Tech,,333;458,UVA vs Virginia Tech
UVA vs Virginia Tech (6),96063,15516,Bases Empty,04-14-2018,8 Tabby Dabney,R-Hand,10 Olivia Lattin,R-Hand,,DOWNM5,Ball,Walk,3--0,,,,1 Out,,1. Inning,UVA,Virginia Tech,,461;447,UVA vs Virginia Tech
UVA vs Virginia Tech (7),111578,10477,R1,04-14-2018,8 Tabby Dabney,R-Hand,13 Caitlyn Nolan,R-Hand,,UL3,Strike Called,0--1,0--0,,,,1 Out,,1. Inning,UVA,Virginia Tech,,130;179,UVA vs Virginia Tech
UVA vs Virginia Tech (8),122055,12346,R1,04-14-2018,8 Tabby Dabney,R-Hand,13 Caitlyn Nolan,R-Hand,,LL2,Foul,0--2,0--1,,,,1 Out,,1. Inning,UVA,Virginia Tech,,197;321,UVA vs Virginia Tech
UVA vs Virginia Tech (9),134401,17618,R1,04-14-2018,8 Tabby Dabney,R-Hand,13 Caitlyn Nolan,R-Hand,,MM4,Foul,0--2,0--2,,,,1 Out,,1. Inning,UVA,Virginia Tech,,286;282,UVA vs Virginia Tech
