Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,3. Pitch Type,4. Pitch Location,5. Catcher Throw Down,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,8. Well Hit,9. Outs,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location,Z-Game Details
UVA vs Virginia Tech,0,17985,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,2 Caroline Schoenewald,R-Hand,,MM3,,Strike Called,0--1,0--0,,,,,0 Out,1. Inning,UVA,Virginia Tech,,232;310,UVA vs Virginia Tech
UVA vs Virginia Tech (1),17985,23590,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,2 Caroline Schoenewald,R-Hand,,MM3,,Foul,0--2,0--1,,,,,0 Out,1. Inning,UVA,Virginia Tech,,227;271,UVA vs Virginia Tech
UVA vs Virginia Tech (2),41575,14014,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,2 Caroline Schoenewald,R-Hand,,,,Foul,0--2,0--2,,,,,0 Out,1. Inning,UVA,Virginia Tech,,,UVA vs Virginia Tech
UVA vs Virginia Tech (3),55589,8308,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,2 Caroline Schoenewald,R-Hand,,RIGHTM3,,Ball,1--2,0--2,,,,,0 Out,1. Inning,UVA,Virginia Tech,,444;298,UVA vs Virginia Tech
UVA vs Virginia Tech (4),63897,16416,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,2 Caroline Schoenewald,R-Hand,,MR1,,Foul,1--2,1--2,,,,,0 Out,1. Inning,UVA,Virginia Tech,,355;239,UVA vs Virginia Tech
UVA vs Virginia Tech (5),80314,12045,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,2 Caroline Schoenewald,R-Hand,,LL2,,Foul,1--2,1--2,,,,,0 Out,1. Inning,UVA,Virginia Tech,,173;335,UVA vs Virginia Tech
UVA vs Virginia Tech (6),92359,17317,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,2 Caroline Schoenewald,R-Hand,,DOWNM4,,Ball,2--2,1--2,,,,,0 Out,1. Inning,UVA,Virginia Tech,,371;469,UVA vs Virginia Tech
UVA vs Virginia Tech (7),109676,11044,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,2 Caroline Schoenewald,R-Hand,,UPM2,,Ball,3--2,2--2,,,,,0 Out,1. Inning,UVA,Virginia Tech,,169;3,UVA vs Virginia Tech
UVA vs Virginia Tech (8),120721,14848,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,2 Caroline Schoenewald,R-Hand,,UPM3,,Ball,Walk,3--2,,,,,0 Out,1. Inning,UVA,Virginia Tech,,296;70,UVA vs Virginia Tech
UVA vs Virginia Tech (9),135569,12145,R1,04-14-2018,24 Lacy Smith,R-Hand,10 Olivia Lattin,R-Hand,,UPM3,,Ball,1--0,0--0,,,,,0 Out,1. Inning,UVA,Virginia Tech,,242;66,UVA vs Virginia Tech
UVA vs Virginia Tech (10),147714,15415,R1,04-14-2018,24 Lacy Smith,R-Hand,10 Olivia Lattin,R-Hand,,DOWNM3,,Ball,2--0,1--0,,,,,0 Out,1. Inning,UVA,Virginia Tech,,297;459,UVA vs Virginia Tech
UVA vs Virginia Tech (11),163130,19019,R1,04-14-2018,24 Lacy Smith,R-Hand,10 Olivia Lattin,R-Hand,,MR3,,Foul,2--1,2--0,,,,,0 Out,1. Inning,UVA,Virginia Tech,,354;282,UVA vs Virginia Tech
UVA vs Virginia Tech (12),182149,28395,R1,04-14-2018,24 Lacy Smith,R-Hand,10 Olivia Lattin,R-Hand,,ML4,Catcher Throw SB,Strike Called,2--2,2--1,,,,,0 Out,1. Inning,UVA,Virginia Tech,,197;305,UVA vs Virginia Tech
UVA vs Virginia Tech (13),210544,18452,R2,04-14-2018,24 Lacy Smith,R-Hand,10 Olivia Lattin,R-Hand,,UPM1,,Foul,2--2,2--2,,,,,0 Out,1. Inning,UVA,Virginia Tech,,87;2,UVA vs Virginia Tech
UVA vs Virginia Tech (14),228996,15415,R2,04-14-2018,24 Lacy Smith,R-Hand,10 Olivia Lattin,R-Hand,,LR1,,Foul,2--2,2--2,,,,,0 Out,1. Inning,UVA,Virginia Tech,,344;324,UVA vs Virginia Tech
UVA vs Virginia Tech (15),244411,11778,R2,04-14-2018,24 Lacy Smith,R-Hand,10 Olivia Lattin,R-Hand,,MM2,,Foul,2--2,2--2,,,,,0 Out,1. Inning,UVA,Virginia Tech,,273;205,UVA vs Virginia Tech
UVA vs Virginia Tech (16),256190,17851,R2,04-14-2018,24 Lacy Smith,R-Hand,10 Olivia Lattin,R-Hand,,ML3,,Strike Called,Strikeout,2--2,,,,,0 Out,1. Inning,UVA,Virginia Tech,,125;301,UVA vs Virginia Tech
UVA vs Virginia Tech (17),274041,7841,R2,04-14-2018,24 Lacy Smith,R-Hand,14 Emma Strouth,R-Hand,,UPM3,,Ball,1--0,0--0,,,,,1 Out,1. Inning,UVA,Virginia Tech,,222;71,UVA vs Virginia Tech
UVA vs Virginia Tech (18),281882,14882,R2,04-14-2018,24 Lacy Smith,R-Hand,14 Emma Strouth,R-Hand,,LM1,,Ball in Play,,1--0,SRCF,Fly Out,,,1 Out,1. Inning,UVA,Virginia Tech,319;191,242;341,UVA vs Virginia Tech
UVA vs Virginia Tech (19),296763,13981,R2,04-14-2018,24 Lacy Smith,R-Hand,25 Carrie Eberle,R-Hand,,UPM4,,Strike Swinging,0--1,0--0,,,,,2 Out,1. Inning,UVA,Virginia Tech,,300;87,UVA vs Virginia Tech
UVA vs Virginia Tech (20),310744,9977,R2,04-14-2018,24 Lacy Smith,R-Hand,25 Carrie Eberle,R-Hand,,MM1,,Foul,0--2,0--1,,,,,2 Out,1. Inning,UVA,Virginia Tech,,230;207,UVA vs Virginia Tech
UVA vs Virginia Tech (21),320721,11645,R2,04-14-2018,24 Lacy Smith,R-Hand,25 Carrie Eberle,R-Hand,,UPM4,,Ball,1--2,0--2,,,,,2 Out,1. Inning,UVA,Virginia Tech,,385;59,UVA vs Virginia Tech
UVA vs Virginia Tech (22),332366,16850,R2,04-14-2018,24 Lacy Smith,R-Hand,25 Carrie Eberle,R-Hand,,UPM2,,Ball,2--2,1--2,,,,,2 Out,1. Inning,UVA,Virginia Tech,,100;63,UVA vs Virginia Tech
UVA vs Virginia Tech (23),349216,13046,R2,04-14-2018,24 Lacy Smith,R-Hand,25 Carrie Eberle,R-Hand,,UPM3,,Strike Swinging,Strikeout,2--2,,,,,2 Out,1. Inning,UVA,Virginia Tech,,229;84,UVA vs Virginia Tech
UVA vs Virginia Tech (24),362262,14882,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,5 Allison Davis`,R-Hand,Curve Ball,LL3,,Strike Called,0--1,0--0,,,,,0 Out,1. Inning,Virginia Tech,UVA,,131;406,UVA vs Virginia Tech
UVA vs Virginia Tech (25),377144,10143,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,5 Allison Davis`,R-Hand,Rise Ball,UPM4,,Ball,1--1,0--1,,,,,0 Out,1. Inning,Virginia Tech,UVA,,314;40,UVA vs Virginia Tech
UVA vs Virginia Tech (26),387287,15883,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,5 Allison Davis`,R-Hand,Curve Ball,UR2,,Foul,1--2,1--1,,,,,0 Out,1. Inning,Virginia Tech,UVA,,393;156,UVA vs Virginia Tech
UVA vs Virginia Tech (27),403170,15182,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,5 Allison Davis`,R-Hand,Rise Ball,UL3,,Ball in Play,,1--2,SCF2,Single,,,0 Out,1. Inning,Virginia Tech,UVA,274;159,113;202,UVA vs Virginia Tech
UVA vs Virginia Tech (28),418352,11578,R1,04-14-2018,7 Jordan Dail,L-Hand,17 Hayley Busby,R-Hand,Curve Ball,LEFTM3,,Ball,1--0,0--0,,,,,0 Out,1. Inning,Virginia Tech,UVA,,78;402,UVA vs Virginia Tech
UVA vs Virginia Tech (29),429930,8809,R1,04-14-2018,7 Jordan Dail,L-Hand,17 Hayley Busby,R-Hand,Curve Ball,LL3,,Strike Called,1--1,1--0,,,,,0 Out,1. Inning,Virginia Tech,UVA,,151;364,UVA vs Virginia Tech
UVA vs Virginia Tech (30),438739,18085,R1,04-14-2018,7 Jordan Dail,L-Hand,17 Hayley Busby,R-Hand,Curve Ball,LM1,,Ball in Play,,1--1,PF,Ground Out,,,0 Out,1. Inning,Virginia Tech,UVA,227;281,220;318,UVA vs Virginia Tech
UVA vs Virginia Tech (31),456823,12045,R2,04-14-2018,7 Jordan Dail,L-Hand,63 Danni Ingraham,R-Hand,Curve Ball,UR4,,Strike Called,0--1,0--0,,,,,1 Out,1. Inning,Virginia Tech,UVA,,363;175,UVA vs Virginia Tech
UVA vs Virginia Tech (32),468869,9042,R2,04-14-2018,7 Jordan Dail,L-Hand,63 Danni Ingraham,R-Hand,Rise Ball,UR1,,Strike Swinging,0--2,0--1,,,,,1 Out,1. Inning,Virginia Tech,UVA,,303;118,UVA vs Virginia Tech
UVA vs Virginia Tech (33),477911,12446,R2,04-14-2018,7 Jordan Dail,L-Hand,63 Danni Ingraham,R-Hand,Changeup,DOWNM4,,WP-PB,1--2,0--2,,,,,1 Out,1. Inning,Virginia Tech,UVA,,307;456,UVA vs Virginia Tech
UVA vs Virginia Tech (34),490357,22256,R3,04-14-2018,7 Jordan Dail,L-Hand,63 Danni Ingraham,R-Hand,Rise Ball,ML1,,Ball in Play,,1--2,Home Run LCF,Home Run,2 RBI,Well Hit Ball,1 Out,1. Inning,Virginia Tech,UVA,129;17,142;210,UVA vs Virginia Tech
UVA vs Virginia Tech (35),512613,14448,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,24 Lacy Smith,R-Hand,Curve Ball,ML1,,Strike Called,0--1,0--0,,,,,1 Out,1. Inning,Virginia Tech,UVA,,145;225,UVA vs Virginia Tech
UVA vs Virginia Tech (36),527060,9776,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,24 Lacy Smith,R-Hand,Changeup,DOWNM2,,Ball,1--1,0--1,,,,,1 Out,1. Inning,Virginia Tech,UVA,,168;446,UVA vs Virginia Tech
UVA vs Virginia Tech (37),536837,14948,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,24 Lacy Smith,R-Hand,Curve Ball,DOWNM2,,Ball,2--1,1--1,,,,,1 Out,1. Inning,Virginia Tech,UVA,,184;456,UVA vs Virginia Tech
UVA vs Virginia Tech (38),551785,11178,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,24 Lacy Smith,R-Hand,Curve Ball,ML2,,Strike Called,2--2,2--1,,,,,1 Out,1. Inning,Virginia Tech,UVA,,167;245,UVA vs Virginia Tech
UVA vs Virginia Tech (39),562963,12713,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,24 Lacy Smith,R-Hand,Changeup,DOWNM2,,Ball,3--2,2--2,,,,,1 Out,1. Inning,Virginia Tech,UVA,,135;482,UVA vs Virginia Tech
UVA vs Virginia Tech (40),575676,11345,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,24 Lacy Smith,R-Hand,Curve Ball,ML3,,Strike Called,Strikeout,3--2,,,,,1 Out,1. Inning,Virginia Tech,UVA,,140;295,UVA vs Virginia Tech
UVA vs Virginia Tech (41),587020,6773,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,88 Olivia Gott,R-Hand,Rise Ball,UPM3,,Ball,1--0,0--0,,,,,2 Out,1. Inning,Virginia Tech,UVA,,257;68,UVA vs Virginia Tech
UVA vs Virginia Tech (42),593794,13714,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,88 Olivia Gott,R-Hand,Curve Ball,LM2,,Strike Called,1--1,1--0,,,,,2 Out,1. Inning,Virginia Tech,UVA,,259;354,UVA vs Virginia Tech
