Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,4. Pitch Location,5. Catcher Throw Down,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,8. Well Hit,9. Outs,Hitting Position,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location,Z-Game Details
PITCH (1),0,8400,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,17 Hayley Busby,R-Hand,UPL,,Strike Called,0--1,0--0,,,,,0 Out,,1. Inning,Virginia Tech,UVA,,114;139,PITCH
PITCH (2),8433,8882,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,17 Hayley Busby,R-Hand,ML,,Strike Called,0--2,0--1,,,,,0 Out,,1. Inning,Virginia Tech,UVA,,110;228,PITCH
PITCH (3),17348,9381,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,17 Hayley Busby,R-Hand,LEFTM,,Ball,1--2,0--2,,,,,0 Out,,1. Inning,Virginia Tech,UVA,,88;328,PITCH
PITCH (4),26763,13051,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,17 Hayley Busby,R-Hand,ML,,Foul,1--2,1--2,,,,,0 Out,,1. Inning,Virginia Tech,UVA,,187;246,PITCH
PITCH (5),39847,10056,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,17 Hayley Busby,R-Hand,LL,,Foul,1--2,1--2,,,,,0 Out,,1. Inning,Virginia Tech,UVA,,131;357,PITCH
PITCH (6),49936,16825,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,17 Hayley Busby,R-Hand,LL,,Ball in Play,,1--2,2B3,Fly Out,,,0 Out,,1. Inning,Virginia Tech,UVA,274;246,145;321,PITCH
PITCH (7),66794,9954,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,24 Lacy Smith,R-Hand,LL,,Strike Called,0--1,0--0,,,,,1 Out,,1. Inning,Virginia Tech,UVA,,138;311,PITCH
PITCH (8),76782,9501,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,24 Lacy Smith,R-Hand,UPM,,Ball,1--1,0--1,,,,,1 Out,,1. Inning,Virginia Tech,UVA,,86;28,PITCH
PITCH (9),86316,10650,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,24 Lacy Smith,R-Hand,ML,,Strike Called,1--2,1--1,,,,,1 Out,,1. Inning,Virginia Tech,UVA,,105;288,PITCH
PITCH (10),97000,10293,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,24 Lacy Smith,R-Hand,DOWNM,,Ball,2--2,1--2,,,,,1 Out,,1. Inning,Virginia Tech,UVA,,154;439,PITCH
PITCH (11),107326,9091,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,24 Lacy Smith,R-Hand,LEFTM,,Ball,3--2,2--2,,,,,1 Out,,1. Inning,Virginia Tech,UVA,,95;384,PITCH
PITCH (12),116450,7999,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,24 Lacy Smith,R-Hand,LL,,Foul,3--2,3--2,,,,,1 Out,,1. Inning,Virginia Tech,UVA,,126;346,PITCH
PITCH (13),124483,9484,NO CHANGE,04-13-2019,25 Carrie Eberle,R-Hand,24 Lacy Smith,R-Hand,LR,,Strike Swinging,Strikeout,3--2,,,,,1 Out,,1. Inning,Virginia Tech,UVA,,391;375,PITCH
PITCH (14),134000,10323,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,4 Tori Gilbert,R-Hand,UPM,,Strike Called,0--1,0--0,,,,,2 Out,,1. Inning,Virginia Tech,UVA,,248;130,PITCH
PITCH (15),144357,8449,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,4 Tori Gilbert,R-Hand,UPR,,Strike Called,0--2,0--1,,,,,2 Out,,1. Inning,Virginia Tech,UVA,,332;115,PITCH
PITCH (16),152839,9714,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,4 Tori Gilbert,R-Hand,UPM,,Ball,1--2,0--2,,,,,2 Out,,1. Inning,Virginia Tech,UVA,,161;39,PITCH
PITCH (17),162586,9874,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,4 Tori Gilbert,R-Hand,LR,,Foul,1--2,1--2,,,,,2 Out,,1. Inning,Virginia Tech,UVA,,392;373,PITCH
PITCH (18),172494,12166,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,4 Tori Gilbert,R-Hand,LL,,Strike Called,Strikeout,1--2,,,,,2 Out,,1. Inning,Virginia Tech,UVA,,152;375,PITCH
PITCH (19),184693,9032,Bases Empty,04-13-2019,18 Aly Rayle,R-Hand,2 Jayme Bailey,R-Hand,UPM,,Ball,1--0,0--0,,,,,0 Out,,1. Inning,UVA,Virginia Tech,,180;48,PITCH
PITCH (20),193759,15669,Bases Empty,04-13-2019,18 Aly Rayle,R-Hand,2 Jayme Bailey,R-Hand,ML,,Ball in Play,,1--0,DCF2,Fly Out,,,0 Out,,1. Inning,UVA,Virginia Tech,307;28,133;284,PITCH
