,Jersey,First Name,Last Name,Pitching Strength,Hitting Strength,Position,Team Abbrieviation,Team Organization
0,1,Maddy,Newman,Right,Left,2B,UL,Louisville
1,2,Charley,Butler,Right,Right,OF,UL,Louisville
2,3,Blaire,Bass,Right,Right,OF,UL,Louisville
3,4,Riley,Schindler,Right,Right,OF,UL,Louisville
4,6,Erin,Wilbur,Right,Right,INF,UL,Louisville
5,7,Paige,Schindler,Right,Right,RHP,UL,Louisville
6,8,Taylor,Roby,Right,Right,RHP,UL,Louisville
7,9,Sidney,Melton,Right,Left,INF,UL,Louisville
8,10,Megan,Hensley,Right,Right,P,UL,Louisville
9,13,Danielle,Watson,Right,Right,RHP,UL,Louisville
10,14,Caitlin,Ferguson,Right,Right,INF,UL,Louisville
11,15,Darrianne,Hale,Right,Right,P,UL,Louisville
12,18,Cassady,Greenwood,Right,Left,C,UL,Louisville
13,19,Madison,Ciaccio,Right,Right,1B,UL,Louisville
14,21,Eden,Mayo,Right,Right,INF,UL,Louisville
15,23,Jordyn,Wolfe,Right,Left,OF,UL,Louisville
16,33,Celene,Funke,Right,Left,OF,UL,Louisville
17,37,Rebecca,Chung,Right,Right,C,UL,Louisville
18,44,Madison,Cousineau,Right,Right,C,UL,Louisville
19,45,Kyra,Snyder,Right,Left,P/1B,UL,Louisville
